ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Drinking water,2015,95.82921,99987.24372,On premises
AFG,Afghanistan,total,Drinking water,2015,37.10361,12768688.71,On premises
AGO,Angola,total,Drinking water,2015,30.87289,8608715.331,Available
AIA,Anguilla,total,Drinking water,2015,87.63656,12513.62505,Available
ALB,Albania,total,Drinking water,2015,70.59197,2040477.862,Available
AND,Andorra,total,Drinking water,2015,100,77992.99809,Available
ARE,United Arab Emirates,total,Drinking water,2015,99.97133,9260240.557,Available
ARG,Argentina,total,Drinking water,2015,97.32167,41921715.53,On premises
ARM,Armenia,total,Drinking water,2015,91.13151,2666106.197,Available
ASM,American Samoa,total,Drinking water,2015,96.07227,53614.09043,On premises
ATG,Antigua and Barbuda,total,Drinking water,2015,89.8707,84092.91649,Available
AUS,Australia,total,Drinking water,2015,95.87457,22945179.01,Available
AUT,Austria,total,Drinking water,2015,98.90942,8584019.411,Available
AZE,Azerbaijan,total,Drinking water,2015,87.03252,8374913.559,On premises
BDI,Burundi,total,Drinking water,2015,8.85806,899981.7795,On premises
BEL,Belgium,total,Drinking water,2015,100,11287930.74,On premises
BEN,Benin,total,Drinking water,2015,56.66745,5993128.483,Available
BFA,Burkina Faso,total,Drinking water,2015,53.94793,9770301.654,Available
BGD,Bangladesh,total,Drinking water,2015,95.29615,148906231.6,Available
BGR,Bulgaria,total,Drinking water,2015,97.25241,7001919.688,Available
BHR,Bahrain,total,Drinking water,2015,99.94452,1371091.854,Available
BHS,Bahamas,total,Drinking water,2015,97.93013,366454.5631,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2015,88.82513,3046135.17,Available
BLM,Saint Barthélemy,total,Drinking water,2015,99.94741,0,On premises
BLR,Belarus,total,Drinking water,2015,94.48514,8918852.542,On premises
BLZ,Belize,total,Drinking water,2015,95.29284,343936.6478,On premises
BMU,Bermuda,total,Drinking water,2015,99.85651,63603.60555,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2015,83.07375,9029893.713,On premises
BRA,Brazil,total,Drinking water,2015,89.65476,183318660.8,Available
BRB,Barbados,total,Drinking water,2015,88.86774,253563.665,Available
BRN,Brunei Darussalam,total,Drinking water,2015,99.45998,412673.3655,On premises
BTN,Bhutan,total,Drinking water,2015,86.47435,629433.7899,Available
BWA,Botswana,total,Drinking water,2015,76.3609,1619397.84,On premises
CAF,Central African Republic,total,Drinking water,2015,38.30713,1721205.05,Available
CAN,Canada,total,Drinking water,2015,98.81806,35600855.18,On premises
CHE,Switzerland,total,Drinking water,2015,100,8296775.5,On premises
CHI,Channel Islands,total,Drinking water,2015,91.975,152114.6933,On premises
CHL,Chile,total,Drinking water,2015,98.94516,17779808.59,Available
CHN,China,total,Drinking water,2015,88.47944,1265614680,Available
CIV,Côte d’Ivoire,total,Drinking water,2015,57.11051,13264570.91,Available
CMR,Cameroon,total,Drinking water,2015,46.76275,10894961.15,Available
COD,Democratic Republic of the Congo,total,Drinking water,2015,40.52524,30898281.76,Available
COG,Congo,total,Drinking water,2015,48.62823,2361431.943,On premises
COK,Cook Islands,total,Drinking water,2015,87.41253,15367.99764,On premises
COL,Colombia,total,Drinking water,2015,75.8103,36025561.59,Available
COM,Comoros,total,Drinking water,2015,65.38306,508310.8274,On premises
CPV,Cabo Verde,total,Drinking water,2015,81.8084,429281.411,On premises
CRI,Costa Rica,total,Drinking water,2015,80.24477,3890110.214,Available
CUB,Cuba,total,Drinking water,2015,89.13167,10093962.57,Available
CUW,Curaçao,total,Drinking water,2015,99.1826,158543.3828,On premises
CYM,Cayman Islands,total,Drinking water,2015,82.37913,50845.21974,Available
CYP,Cyprus,total,Drinking water,2015,99.78852,1158531.716,On premises
CZE,Czechia,total,Drinking water,2015,97.88072,10376717.09,On premises
DEU,Germany,total,Drinking water,2015,100,81787417.96,Available
DJI,Djibouti,total,Drinking water,2015,45.82958,418881.4262,On premises
DMA,Dominica,total,Drinking water,2015,52.1951,37149.86162,Available
DNK,Denmark,total,Drinking water,2015,96.73721,5503084.938,On premises
DOM,Dominican Republic,total,Drinking water,2015,71.82769,7385089.826,Available
DZA,Algeria,total,Drinking water,2015,75.98389,30186893.89,Available
ECU,Ecuador,total,Drinking water,2015,89.26785,14472123.02,Available
EGY,Egypt,total,Drinking water,2015,71.30991,65920698.89,Available
ERI,Eritrea,total,Drinking water,2015,33.60469,1123343.589,On premises
ESP,Spain,total,Drinking water,2015,99.92672,46637715.03,On premises
EST,Estonia,total,Drinking water,2015,99.75131,1312058.874,Available
ETH,Ethiopia,total,Drinking water,2015,52.42261,52860574.59,Available
FIN,Finland,total,Drinking water,2015,99.63062,5460881.898,On premises
FJI,Fiji,total,Drinking water,2015,94.26256,818794.7486,Available
FLK,Falkland Islands (Malvinas),total,Drinking water,2015,92.23001,2615.64302,On premises
FRA,France,total,Drinking water,2015,100,64453196,On premises
FRO,Faroe Islands,total,Drinking water,2015,100,48055,On premises
FSM,Micronesia (Federated States of),total,Drinking water,2015,72.63864,79093.31487,Available
GAB,Gabon,total,Drinking water,2015,69.03683,1344623.502,On premises
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2015,100,65860148.99,On premises
GEO,Georgia,total,Drinking water,2015,77.75447,3128979.91,Available
GHA,Ghana,total,Drinking water,2015,76.93453,21425653.6,Available
GIB,Gibraltar,total,Drinking water,2015,100,33742,On premises
GIN,Guinea,total,Drinking water,2015,45.08358,5153997.861,Available
GLP,Guadeloupe,total,Drinking water,2015,99.45351,398072.6304,On premises
GMB,Gambia,total,Drinking water,2015,76.28041,1591102.637,Available
GNB,Guinea-Bissau,total,Drinking water,2015,55.44185,963139.691,Available
GNQ,Equatorial Guinea,total,Drinking water,2015,16.49637,192772.4439,On premises
GRC,Greece,total,Drinking water,2015,100,10659737.49,On premises
GRD,Grenada,total,Drinking water,2015,92.25101,101109.8729,Available
GRL,Greenland,total,Drinking water,2015,96.75322,54547.52979,On premises
GTM,Guatemala,total,Drinking water,2015,59.97105,9746750.235,Available
GUF,French Guiana,total,Drinking water,2015,90.2629,235593.3785,On premises
GUM,Guam,total,Drinking water,2015,99.54117,161108.3847,On premises
GUY,Guyana,total,Drinking water,2015,93.50924,717620.7537,On premises
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2015,99.98402,7184843.51,On premises
HND,Honduras,total,Drinking water,2015,59.51709,5423735.468,Available
HTI,Haiti,total,Drinking water,2015,61.49205,6576907.23,Available
HUN,Hungary,total,Drinking water,2015,99.97053,9775043.344,Available
IDN,Indonesia,total,Drinking water,2015,81.27039,209989061,Available
IMN,Isle of Man,total,Drinking water,2015,97.20756,80907.80046,On premises
IND,India,total,Drinking water,2015,66.59051,872437112.1,Available
IRL,Ireland,total,Drinking water,2015,97.29984,4526797.176,On premises
IRN,Iran (Islamic Republic of),total,Drinking water,2015,93.23789,73184481.31,On premises
IRQ,Iraq,total,Drinking water,2015,67.04455,23849267.5,Available
ISL,Iceland,total,Drinking water,2015,100,330237.0076,On premises
ISR,Israel,total,Drinking water,2015,100,7978496.12,On premises
ITA,Italy,total,Drinking water,2015,97.83971,59269819.85,On premises
JAM,Jamaica,total,Drinking water,2015,47.29585,1367334.51,Available
JOR,Jordan,total,Drinking water,2015,74.88365,6939148.324,Available
JPN,Japan,total,Drinking water,2015,98.37543,125905934.6,On premises
KAZ,Kazakhstan,total,Drinking water,2015,86.08145,15126241.57,On premises
KEN,Kenya,total,Drinking water,2015,55.15088,26405328.11,Available
KGZ,Kyrgyzstan,total,Drinking water,2015,79.58657,4742663.919,Available
KHM,Cambodia,total,Drinking water,2015,47.81704,7421890.753,On premises
KIR,Kiribati,total,Drinking water,2015,48.07352,53326.50869,Available
KNA,Saint Kitts and Nevis,total,Drinking water,2015,86.77843,44434.02814,Available
KOR,Republic of Korea,total,Drinking water,2015,99.47275,50555117.47,Available
KWT,Kuwait,total,Drinking water,2015,100,3835588,Available
LAO,Lao People's Democratic Republic,total,Drinking water,2015,77.66702,5235657.926,Available
LBN,Lebanon,total,Drinking water,2015,86.87027,5674957.933,Available
LBR,Liberia,total,Drinking water,2015,12.57364,562321.9838,On premises
LBY,Libya,total,Drinking water,2015,93.39035,5994086.878,Available
LCA,Saint Lucia,total,Drinking water,2015,71.56214,128189.9696,Available
LIE,Liechtenstein,total,Drinking water,2015,100,37465,On premises
LKA,Sri Lanka,total,Drinking water,2015,85.08534,17789663.76,Available
LSO,Lesotho,total,Drinking water,2015,68.30767,1406462.387,Available
LTU,Lithuania,total,Drinking water,2015,93.54345,2742574.333,On premises
LUX,Luxembourg,total,Drinking water,2015,99.80822,565654.0849,On premises
