ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
MLI,Mali,total,Sanitation,2019,0,0,Faecal sludge treated
MLT,Malta,total,Sanitation,2019,0,0,Faecal sludge treated
MMR,Myanmar,total,Sanitation,2019,0,0,Faecal sludge treated
MNE,Montenegro,total,Sanitation,2019,1.91809,12045.37228,Faecal sludge treated
MNG,Mongolia,total,Sanitation,2019,0,0,Faecal sludge treated
MWI,Malawi,total,Sanitation,2019,0,0,Faecal sludge treated
NER,Niger,total,Sanitation,2019,0,0,Faecal sludge treated
NGA,Nigeria,total,Sanitation,2019,0,0,Faecal sludge treated
NIC,Nicaragua,total,Sanitation,2019,19.36992,1267858.477,Sewage treated
NLD,Netherlands,total,Sanitation,2019,0.09872,16878.05308,Faecal sludge treated
NOR,Norway,total,Sanitation,2019,0.94084,50606.37348,Faecal sludge treated
NPL,Nepal,total,Sanitation,2019,0,0,Faecal sludge treated
NZL,New Zealand,total,Sanitation,2019,0,0,Faecal sludge treated
OMN,Oman,total,Sanitation,2019,21.09399,1049424.087,Sewage treated
PER,Peru,total,Sanitation,2019,3.63246,1180931.023,Faecal sludge treated
PHL,Philippines,total,Sanitation,2019,0,0,Faecal sludge treated
PNG,Papua New Guinea,total,Sanitation,2019,3.17778,278886.0862,Sewage treated
POL,Poland,total,Sanitation,2019,17.61063,6672273.399,Faecal sludge treated
PRI,Puerto Rico,total,Sanitation,2019,0,0,Faecal sludge treated
PRK,Democratic People's Republic of Korea,total,Sanitation,2019,0.86385,221716.0289,Disposed insitu
PRT,Portugal,total,Sanitation,2019,10.20302,1043378.619,Faecal sludge treated
PRY,Paraguay,total,Sanitation,2019,0,0,Faecal sludge treated
PSE,State of Palestine,total,Sanitation,2019,5.024,250266.5376,Faecal sludge treated
QAT,Qatar,total,Sanitation,2019,0,0,Faecal sludge treated
ROU,Romania,total,Sanitation,2019,14.52425,2812557.712,Faecal sludge treated
RUS,Russian Federation,total,Sanitation,2019,3.80291,5547388.999,Faecal sludge treated
SAU,Saudi Arabia,total,Sanitation,2019,0,0,Faecal sludge treated
SEN,Senegal,total,Sanitation,2019,0,0,Faecal sludge treated
SGP,Singapore,total,Sanitation,2019,0,0,Faecal sludge treated
SLE,Sierra Leone,total,Sanitation,2019,0,0,Faecal sludge treated
SLV,El Salvador,total,Sanitation,2019,1.65586,106861.5846,Sewage treated
SMR,San Marino,total,Sanitation,2019,0,0,Faecal sludge treated
SOM,Somalia,total,Sanitation,2019,0,0,Faecal sludge treated
SRB,Serbia,total,Sanitation,2019,0.25129,22043.89289,Faecal sludge treated
STP,Sao Tome and Principe,total,Sanitation,2019,0,0,Faecal sludge treated
SUR,Suriname,total,Sanitation,2019,0,0,Faecal sludge treated
SVK,Slovakia,total,Sanitation,2019,8.11516,442845.29,Faecal sludge treated
SVN,Slovenia,total,Sanitation,2019,0,0,Faecal sludge treated
SWE,Sweden,total,Sanitation,2019,3.82691,384083.4788,Faecal sludge treated
SWZ,Eswatini,total,Sanitation,2019,3.15169,36185.63683,Sewage treated
TCD,Chad,total,Sanitation,2019,0,0,Faecal sludge treated
TGO,Togo,total,Sanitation,2019,0,0,Faecal sludge treated
THA,Thailand,total,Sanitation,2019,0,0,Faecal sludge treated
TON,Tonga,total,Sanitation,2019,0,0,Faecal sludge treated
TUN,Tunisia,total,Sanitation,2019,0.78355,91633.8974,Faecal sludge treated
TUR,Turkey,total,Sanitation,2019,4.33476,3616472.109,Faecal sludge treated
TZA,United Republic of Tanzania,total,Sanitation,2019,0,0,Faecal sludge treated
UGA,Uganda,total,Sanitation,2019,0.12872,56983.85457,Sewage treated
UKR,Ukraine,total,Sanitation,2019,15.49686,6817635.47,Faecal sludge treated
USA,United States of America,total,Sanitation,2019,7.59396,24989051.07,Faecal sludge treated
VEN,Venezuela (Bolivarian Republic of),total,Sanitation,2019,0.06122,17457.81308,Faecal sludge treated
WSM,Samoa,total,Sanitation,2019,0,0,Faecal sludge treated
YEM,Yemen,total,Sanitation,2019,2.36838,690665.5211,Faecal sludge treated
ZWE,Zimbabwe,total,Sanitation,2019,0.04123,6039.017,Faecal sludge treated
