ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Drinking water,2011,95.57704,97536.36805,On premises
AFG,Afghanistan,total,Drinking water,2011,29.07374,8756257.71,On premises
AGO,Angola,total,Drinking water,2011,30.94985,7496258.196,Available
AIA,Anguilla,total,Drinking water,2011,87.45496,11904.36923,Available
ALB,Albania,total,Drinking water,2011,64.3274,1883892.922,Available
AND,Andorra,total,Drinking water,2011,100,83747.99809,Available
ARE,United Arab Emirates,total,Drinking water,2011,99.97134,8944213.473,Available
ARG,Argentina,total,Drinking water,2011,96.33797,39807328.78,On premises
ARM,Armenia,total,Drinking water,2011,90.68657,2608631.844,Available
ASM,American Samoa,total,Drinking water,2011,91.16851,50831.00044,On premises
ATG,Antigua and Barbuda,total,Drinking water,2011,90.08717,80402.8013,Available
AUS,Australia,total,Drinking water,2011,95.35354,21490783.55,Available
AUT,Austria,total,Drinking water,2011,98.91453,8361740.39,Available
AZE,Azerbaijan,total,Drinking water,2011,78.69497,7197660.217,On premises
BDI,Burundi,total,Drinking water,2011,7.45502,667851.0702,On premises
BEL,Belgium,total,Drinking water,2011,100,11013860.32,On premises
BEN,Benin,total,Drinking water,2011,55.83944,5282873.485,Available
BFA,Burkina Faso,total,Drinking water,2011,52.64862,8466906.433,Available
BGD,Bangladesh,total,Drinking water,2011,94.73739,141417470.8,Available
BGR,Bulgaria,total,Drinking water,2011,96.97175,7155207.8,Available
BHR,Bahrain,total,Drinking water,2011,99.96614,1277720.252,Available
BHS,Bahamas,total,Drinking water,2011,97.80447,351688.2571,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2011,88.65034,3245642.188,Available
BLM,Saint Barthélemy,total,Drinking water,2011,99.61344,0,On premises
BLR,Belarus,total,Drinking water,2011,91.20764,8587487.103,On premises
BLZ,Belize,total,Drinking water,2011,92.14629,304300.2207,On premises
BMU,Bermuda,total,Drinking water,2011,99.867,64989.44689,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2011,80.49633,8221050.637,On premises
BRA,Brazil,total,Drinking water,2011,88.69448,175184488.5,Available
BRB,Barbados,total,Drinking water,2011,88.83164,251381.9933,Available
BRN,Brunei Darussalam,total,Drinking water,2011,99.45186,391529.0516,On premises
BTN,Bhutan,total,Drinking water,2011,83.6163,579709.295,Available
BWA,Botswana,total,Drinking water,2011,70.70986,1425090.682,On premises
CAF,Central African Republic,total,Drinking water,2011,38.69998,1710012.57,Available
CAN,Canada,total,Drinking water,2011,98.59599,34054222.94,On premises
CHE,Switzerland,total,Drinking water,2011,100,7906988,On premises
CHI,Channel Islands,total,Drinking water,2011,91.975,148070.5525,On premises
CHL,Chile,total,Drinking water,2011,98.03027,16894129.25,Available
CHN,China,total,Drinking water,2011,85.88023,1202122539,Available
CIV,Côte d’Ivoire,total,Drinking water,2011,57.39474,12069339.82,Available
CMR,Cameroon,total,Drinking water,2011,45.02877,9413890.533,Available
COD,Democratic Republic of the Congo,total,Drinking water,2011,38.33699,25591916.08,Available
COG,Congo,total,Drinking water,2011,41.3869,1818888.928,On premises
COK,Cook Islands,total,Drinking water,2011,86.96224,15827.12776,On premises
COL,Colombia,total,Drinking water,2011,75.64821,34543051.9,Available
COM,Comoros,total,Drinking water,2011,65.6476,463851.522,On premises
CPV,Cabo Verde,total,Drinking water,2011,75.94149,378840.1818,On premises
CRI,Costa Rica,total,Drinking water,2011,79.49611,3683123.319,Available
CUB,Cuba,total,Drinking water,2011,88.4972,9944139.19,Available
CUW,Curaçao,total,Drinking water,2011,99.10297,150942.7372,On premises
CYM,Cayman Islands,total,Drinking water,2011,82.37913,47678.56618,Available
CYP,Cyprus,total,Drinking water,2011,99.81943,1122805.828,On premises
CZE,Czechia,total,Drinking water,2011,97.51334,10303758.54,On premises
DEU,Germany,total,Drinking water,2011,100,80855632,Available
DJI,Djibouti,total,Drinking water,2011,45.42696,387796.8033,On premises
DMA,Dominica,total,Drinking water,2011,52.06136,36917.7505,Available
DNK,Denmark,total,Drinking water,2011,96.74347,5401168.748,On premises
DOM,Dominican Republic,total,Drinking water,2011,70.87692,6955307.676,Available
DZA,Algeria,total,Drinking water,2011,78.49279,28776585.43,Available
ECU,Ecuador,total,Drinking water,2011,86.77585,13228010.09,Available
EGY,Egypt,total,Drinking water,2011,71.17758,60165870.16,Available
ERI,Eritrea,total,Drinking water,2011,32.07033,1030730.395,On premises
