ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Sanitation,2011,5.44013,5551.65428,Sewage treated
ALB,Albania,total,Sanitation,2011,3.84971,112742.5265,Faecal sludge treated
AND,Andorra,total,Sanitation,2011,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2011,0.70101,62717.56573,Faecal sludge treated
ARG,Argentina,total,Sanitation,2011,7.8305,3235599.693,Faecal sludge treated
ARM,Armenia,total,Sanitation,2011,6.96967,200484.933,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2011,24.9756,13925.14577,Sewage treated
AUS,Australia,total,Sanitation,2011,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2011,3.64789,308374.4798,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2011,1.06534,97438.55776,Faecal sludge treated
BEL,Belgium,total,Sanitation,2011,6.30097,693979.7336,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2011,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2011,3.18776,235213.771,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2011,0,0,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2011,0.16727,6123.91454,Faecal sludge treated
BLR,Belarus,total,Sanitation,2011,3.70473,348812.2859,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2011,1.5,976.13994,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2011,6.61697,675787.7179,Faecal sludge treated
BRA,Brazil,total,Sanitation,2011,4.26266,8419375.857,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2011,2.01293,13955.57237,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2011,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2011,12.13979,4192980.433,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2011,0.95339,75384.34323,Faecal sludge treated
CHI,Channel Islands,total,Sanitation,2011,0,0,Faecal sludge treated
CHL,Chile,total,Sanitation,2011,2.61194,450130.3423,Faecal sludge treated
CHN,China,total,Sanitation,2011,0.95213,13327654.53,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2011,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2011,0.82679,377535.9858,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2011,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2011,1.26714,142384.7725,Faecal sludge treated
CUW,Curaçao,total,Sanitation,2011,2.97335,4528.68088,Sewage treated
CYM,Cayman Islands,total,Sanitation,2011,16.2843,9424.86431,Sewage treated
CYP,Cyprus,total,Sanitation,2011,11.48349,129170.4914,Faecal sludge treated
CZE,Czechia,total,Sanitation,2011,0.27971,29555.48833,Faecal sludge treated
DEU,Germany,total,Sanitation,2011,1.14325,924380.513,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2011,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2011,0,0,Faecal sludge treated
DZA,Algeria,total,Sanitation,2011,0.22851,83773.83904,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2011,0.39113,59622.85801,Faecal sludge treated
EGY,Egypt,total,Sanitation,2011,8.46123,7152215.6,Faecal sludge treated
ESP,Spain,total,Sanitation,2011,1.05657,497476.9563,Faecal sludge treated
EST,Estonia,total,Sanitation,2011,7.04706,93563.89949,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2011,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2011,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2011,0,0,Faecal sludge treated
FRO,Faroe Islands,total,Sanitation,2011,0,0,Disposed insitu
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2011,0.57885,370588.759,Faecal sludge treated
GEO,Georgia,total,Sanitation,2011,0.29014,11840.65585,Faecal sludge treated
GHA,Ghana,total,Sanitation,2011,0,0,Faecal sludge treated
GMB,Gambia,total,Sanitation,2011,0,0,Faecal sludge treated
GNB,Guinea-Bissau,total,Sanitation,2011,0,0,Faecal sludge treated
GRC,Greece,total,Sanitation,2011,7.06029,764563.9341,Faecal sludge treated
GRL,Greenland,total,Sanitation,2011,0,0,Faecal sludge treated
HKG,"China, Hong Kong Special Administrative Region",total,Sanitation,2011,1.50002,105100.2154,Faecal sludge treated
HND,Honduras,total,Sanitation,2011,1.8548,157299.7796,Faecal sludge treated
HRV,Croatia,total,Sanitation,2011,11.49822,495929.5102,Faecal sludge treated
HUN,Hungary,total,Sanitation,2011,8.06064,797655.8318,Faecal sludge treated
IND,India,total,Sanitation,2011,0,0,Faecal sludge treated
IRL,Ireland,total,Sanitation,2011,0.80315,36873.6257,Faecal sludge treated
IRN,Iran (Islamic Republic of),total,Sanitation,2011,18.92824,14127087.27,Sewage treated
IRQ,Iraq,total,Sanitation,2011,0,0,Faecal sludge treated
ISL,Iceland,total,Sanitation,2011,0.17057,551.74418,Faecal sludge treated
ISR,Israel,total,Sanitation,2011,0.19015,14236.58019,Faecal sludge treated
ITA,Italy,total,Sanitation,2011,0.82886,493911.4362,Faecal sludge treated
JAM,Jamaica,total,Sanitation,2011,7.01457,198226.9462,Sewage treated
JOR,Jordan,total,Sanitation,2011,9.3933,719795.2352,Faecal sludge treated
JPN,Japan,total,Sanitation,2011,7.83544,10068456.02,Faecal sludge treated
KAZ,Kazakhstan,total,Sanitation,2011,37.75362,6225825.24,Sewage treated
KGZ,Kyrgyzstan,total,Sanitation,2011,0,0,Faecal sludge treated
KIR,Kiribati,total,Sanitation,2011,0,0,Faecal sludge treated
KOR,Republic of Korea,total,Sanitation,2011,1.06721,531320.6644,Faecal sludge treated
KWT,Kuwait,total,Sanitation,2011,0,0,Faecal sludge treated
LAO,Lao People's Democratic Republic,total,Sanitation,2011,0,0,Faecal sludge treated
LBN,Lebanon,total,Sanitation,2011,0.38292,19919.37727,Faecal sludge treated
LBY,Libya,total,Sanitation,2011,1.76867,110496.8037,Faecal sludge treated
LIE,Liechtenstein,total,Sanitation,2011,0.025,9.07475,Faecal sludge treated
LSO,Lesotho,total,Sanitation,2011,0,0,Faecal sludge treated
LTU,Lithuania,total,Sanitation,2011,0.79271,24442.54419,Faecal sludge treated
LUX,Luxembourg,total,Sanitation,2011,0.50793,2637.72671,Faecal sludge treated
LVA,Latvia,total,Sanitation,2011,0,0,Faecal sludge treated
MAC,"China, Macao Special Administrative Region",total,Sanitation,2011,0,0,Faecal sludge treated
MAR,Morocco,total,Sanitation,2011,4.65545,1526141.622,Faecal sludge treated
MCO,Monaco,total,Sanitation,2011,0,0,Faecal sludge treated
MDA,Republic of Moldova,total,Sanitation,2011,26.69409,1088896.448,Sewage treated
MDG,Madagascar,total,Sanitation,2011,0,0,Faecal sludge treated
MEX,Mexico,total,Sanitation,2011,2.15487,2493082.399,Faecal sludge treated
MKD,North Macedonia,total,Sanitation,2011,0.63003,13057.2505,Faecal sludge treated
MLI,Mali,total,Sanitation,2011,0,0,Faecal sludge treated
MLT,Malta,total,Sanitation,2011,0,0,Faecal sludge treated
MMR,Myanmar,total,Sanitation,2011,0,0,Faecal sludge treated
MNE,Montenegro,total,Sanitation,2011,0.89041,5567.47699,Faecal sludge treated
MNG,Mongolia,total,Sanitation,2011,0,0,Faecal sludge treated
MUS,Mauritius,total,Sanitation,2011,16.21687,202884.9848,Sewage treated
MWI,Malawi,total,Sanitation,2011,0,0,Faecal sludge treated
MYS,Malaysia,total,Sanitation,2011,1.63151,467442.4477,Faecal sludge treated
NER,Niger,total,Sanitation,2011,0,0,Faecal sludge treated
