ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
AFG,Afghanistan,total,Drinking water,2018,43.7995,16281116.87,On premises
AGO,Angola,total,Drinking water,2018,30.78058,9483431.391,Available
ALB,Albania,total,Drinking water,2018,70.65335,2036748.855,Available
AND,Andorra,total,Drinking water,2018,100,77008.00092,Available
ARE,United Arab Emirates,total,Drinking water,2018,99.97133,9628204.802,Available
ARM,Armenia,total,Drinking water,2018,91.4977,2700775.046,Available
ASM,American Samoa,total,Drinking water,2018,98.53491,54648.44619,On premises
AUS,Australia,total,Drinking water,2018,95.87446,23870969.14,Available
AUT,Austria,total,Drinking water,2018,98.90448,8793975.719,Available
AZE,Azerbaijan,total,Drinking water,2018,89.166,8871603.868,On premises
BDI,Burundi,total,Drinking water,2018,10.02167,1119960.063,On premises
BEL,Belgium,total,Drinking water,2018,100,11482179.79,On premises
BEN,Benin,total,Drinking water,2018,57.24518,6574629.168,Available
BFA,Burkina Faso,total,Drinking water,2018,54.89988,10843531.87,Available
BGD,Bangladesh,total,Drinking water,2018,95.69094,154422893.3,Available
BGR,Bulgaria,total,Drinking water,2018,97.46949,6873168.228,Available
BHR,Bahrain,total,Drinking water,2018,99.94452,1568569.226,Available
BHS,Bahamas,total,Drinking water,2018,97.93013,377652.874,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2018,88.8507,2953334.049,Available
BLM,Saint Barthélemy,total,Drinking water,2018,100,0,On premises
BLR,Belarus,total,Drinking water,2018,94.56173,8938556.21,On premises
BLZ,Belize,total,Drinking water,2018,96.96469,371443.6169,On premises
BMU,Bermuda,total,Drinking water,2018,99.85651,62672.94285,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2018,84.91715,9640762.616,On premises
BRA,Brazil,total,Drinking water,2018,90.31904,189190672.9,Available
BRB,Barbados,total,Drinking water,2018,88.89482,254808.1125,Available
BTN,Bhutan,total,Drinking water,2018,87.3176,658720.5041,Available
BWA,Botswana,total,Drinking water,2018,80.42349,1812799.337,On premises
CAF,Central African Republic,total,Drinking water,2018,37.89751,1768439.809,Available
CAN,Canada,total,Drinking water,2018,98.98363,36697743.93,On premises
CHE,Switzerland,total,Drinking water,2018,100,8525614,On premises
CHL,Chile,total,Drinking water,2018,99.42182,18620877.42,Available
CHN,China,total,Drinking water,2018,90.12922,1308112265,Available
CIV,Côte d’Ivoire,total,Drinking water,2018,56.88333,14260209.41,Available
CMR,Cameroon,total,Drinking water,2018,48.03373,12112310.54,Available
COD,Democratic Republic of the Congo,total,Drinking water,2018,42.17318,35454188.99,Available
COG,Congo,total,Drinking water,2018,52.60465,2758778.962,On premises
COK,Cook Islands,total,Drinking water,2018,87.42822,15316.55031,On premises
COL,Colombia,total,Drinking water,2018,75.85389,37669841.13,Available
COM,Comoros,total,Drinking water,2018,65.42516,544547.9703,On premises
CPV,Cabo Verde,total,Drinking water,2018,85.81188,466614.138,On premises
CRI,Costa Rica,total,Drinking water,2018,80.52559,4025830.984,Available
CUB,Cuba,total,Drinking water,2018,89.60119,10159113.88,Available
CYP,Cyprus,total,Drinking water,2018,99.76518,1186469.421,On premises
CZE,Czechia,total,Drinking water,2018,97.88166,10439744.08,On premises
DEU,Germany,total,Drinking water,2018,100,83124414.05,Available
DJI,Djibouti,total,Drinking water,2018,46.18469,442875.5987,On premises
DNK,Denmark,total,Drinking water,2018,96.73338,5564230.964,On premises
DOM,Dominican Republic,total,Drinking water,2018,72.45348,7699737.652,Available
DZA,Algeria,total,Drinking water,2018,73.87983,31198283.21,Available
ECU,Ecuador,total,Drinking water,2018,90.66992,15490376.03,Available
EGY,Egypt,total,Drinking water,2018,71.41805,70292216.07,Available
ESP,Spain,total,Drinking water,2018,99.92606,46658339.61,On premises
EST,Estonia,total,Drinking water,2018,99.57257,1317258.529,Available
ETH,Ethiopia,total,Drinking water,2018,59.39927,64878504.9,Available
FIN,Finland,total,Drinking water,2018,99.63455,5502402.534,On premises
FJI,Fiji,total,Drinking water,2018,94.25717,832752.63,Available
FLK,Falkland Islands (Malvinas),total,Drinking water,2018,92.68379,2999.24738,On premises
FRA,France,total,Drinking water,2018,100,64990512,On premises
FRO,Faroe Islands,total,Drinking water,2018,100,48497,On premises
FSM,Micronesia (Federated States of),total,Drinking water,2018,72.63864,81820.1696,Available
GAB,Gabon,total,Drinking water,2018,70.08289,1485249.145,On premises
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2018,100,67141681.01,On premises
GEO,Georgia,total,Drinking water,2018,78.16802,3129023.523,Available
GHA,Ghana,total,Drinking water,2018,81.67227,24311473.72,Available
GIB,Gibraltar,total,Drinking water,2018,100,33715,On premises
GIN,Guinea,total,Drinking water,2018,46.96432,5830287.721,Available
GLP,Guadeloupe,total,Drinking water,2018,99.68392,398584.1773,On premises
GMB,Gambia,total,Drinking water,2018,77.05952,1757027.938,Available
GNB,Guinea-Bissau,total,Drinking water,2018,57.02359,1068795.446,Available
GRC,Greece,total,Drinking water,2018,100,10522244.24,On premises
GRL,Greenland,total,Drinking water,2018,96.74503,54723.82466,On premises
GTM,Guatemala,total,Drinking water,2018,61.14122,10545549.45,Available
GUF,French Guiana,total,Drinking water,2018,90.48851,256024.5684,On premises
GUM,Guam,total,Drinking water,2018,99.54117,165009.4033,On premises
GUY,Guyana,total,Drinking water,2018,94.39435,735338.6115,On premises
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2018,100,7371728,On premises
HND,Honduras,total,Drinking water,2018,60.05792,5758066.962,Available
HTI,Haiti,total,Drinking water,2018,63.09581,7018262.485,Available
HUN,Hungary,total,Drinking water,2018,100,9707502,Available
IDN,Indonesia,total,Drinking water,2018,83.47291,223432413.9,Available
IMN,Isle of Man,total,Drinking water,2018,97.20756,81725.31608,On premises
IND,India,total,Drinking water,2018,63.79302,862891421.8,Available
IRL,Ireland,total,Drinking water,2018,97.33388,4690221.723,On premises
IRN,Iran (Islamic Republic of),total,Drinking water,2018,93.69684,76644198.99,On premises
IRQ,Iraq,total,Drinking water,2018,71.03754,27302288.7,Available
ISL,Iceland,total,Drinking water,2018,100,336711.9981,On premises
ISR,Israel,total,Drinking water,2018,100,8381506.756,On premises
ITA,Italy,total,Drinking water,2018,97.83971,59317565.63,On premises
JAM,Jamaica,total,Drinking water,2018,40.6539,1193132.319,Available
JOR,Jordan,total,Drinking water,2018,81.3731,8109091.452,Available
JPN,Japan,total,Drinking water,2018,98.51793,125316961.2,On premises
KAZ,Kazakhstan,total,Drinking water,2018,89.30982,16361216.07,On premises
