ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Sanitation,2015,4.6721,4874.82503,Sewage treated
ALB,Albania,total,Sanitation,2015,3.97005,114755.3626,Faecal sludge treated
AND,Andorra,total,Sanitation,2015,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2015,1.63592,151533.7677,Faecal sludge treated
ARG,Argentina,total,Sanitation,2015,7.40338,3189035.736,Faecal sludge treated
ARM,Armenia,total,Sanitation,2015,7.3299,214440.5104,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2015,23.80506,13284.65415,Sewage treated
AUS,Australia,total,Sanitation,2015,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2015,3.60448,312820.6293,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2015,1.03894,99974.0577,Faecal sludge treated
BEL,Belgium,total,Sanitation,2015,3.54034,399631.1089,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2015,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2015,2.70284,194597.1786,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2015,0,0,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2015,0.53654,18399.78331,Faecal sludge treated
BLR,Belarus,total,Sanitation,2015,3.78264,357059.1392,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2015,1.5,955.425,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2015,7.56947,822781.1838,Faecal sludge treated
BRA,Brazil,total,Sanitation,2015,4.17502,8536733.999,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2015,1.64641,11983.9978,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2015,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2015,12.96216,4669835.822,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2015,0.58285,48358.08348,Faecal sludge treated
CHI,Channel Islands,total,Sanitation,2015,0,0,Faecal sludge treated
CHL,Chile,total,Sanitation,2015,2.81243,505374.833,Faecal sludge treated
CHN,China,total,Sanitation,2015,1.5496,22165518.47,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2015,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2015,0.84021,399272.9399,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2015,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2015,1.13983,129083.2745,Faecal sludge treated
CUW,Curaçao,total,Sanitation,2015,2.82928,4522.60404,Sewage treated
CYM,Cayman Islands,total,Sanitation,2015,16.2843,10050.8328,Sewage treated
CYP,Cyprus,total,Sanitation,2015,11.31567,131373.4081,Faecal sludge treated
CZE,Czechia,total,Sanitation,2015,0,0,Faecal sludge treated
DEU,Germany,total,Sanitation,2015,1.14505,936508.9113,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2015,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2015,0,0,Faecal sludge treated
DZA,Algeria,total,Sanitation,2015,0.18462,73344.32669,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2015,0.36503,59178.21458,Faecal sludge treated
EGY,Egypt,total,Sanitation,2015,6.92907,6405407.346,Faecal sludge treated
ESP,Spain,total,Sanitation,2015,1.63582,763467.4125,Faecal sludge treated
EST,Estonia,total,Sanitation,2015,5.851,76959.99541,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2015,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2015,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2015,0,0,Faecal sludge treated
