ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
AFG,Afghanistan,total,Drinking water,2017,41.49848,15062334.34,On premises
AGO,Angola,total,Drinking water,2017,30.81488,9188000.619,Available
AIA,Anguilla,total,Drinking water,2017,87.63656,12784.42204,Available
ALB,Albania,total,Drinking water,2017,70.63694,2037288.789,Available
AND,Andorra,total,Drinking water,2017,100,76996.99905,Available
ARE,United Arab Emirates,total,Drinking water,2017,99.97133,9484486.096,Available
ARM,Armenia,total,Drinking water,2017,91.48255,2693968.12,Available
ASM,American Samoa,total,Drinking water,2017,98.53491,54802.16064,On premises
ATG,Antigua and Barbuda,total,Drinking water,2017,89.8707,85759.11934,Available
AUS,Australia,total,Drinking water,2017,95.8745,23570381.17,Available
AUT,Austria,total,Drinking water,2017,98.9062,8723429.758,Available
AZE,Azerbaijan,total,Drinking water,2017,88.45733,8708903.374,On premises
BDI,Burundi,total,Drinking water,2017,9.62265,1041845.277,On premises
BEL,Belgium,total,Drinking water,2017,100,11419751.82,On premises
BEN,Benin,total,Drinking water,2017,57.05685,6376212.525,Available
BFA,Burkina Faso,total,Drinking water,2017,54.58489,10476606.01,Available
BGD,Bangladesh,total,Drinking water,2017,95.56168,152598068.1,Available
BGR,Bulgaria,total,Drinking water,2017,97.39651,6917540.098,Available
BHR,Bahrain,total,Drinking water,2017,99.94452,1493248.04,Available
BHS,Bahamas,total,Drinking water,2017,97.93013,373847.3089,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2017,88.84189,2977566.314,Available
BLM,Saint Barthélemy,total,Drinking water,2017,100,0,On premises
BLR,Belarus,total,Drinking water,2017,94.53653,8933922.134,On premises
BLZ,Belize,total,Drinking water,2017,96.40713,362273.8953,On premises
BMU,Bermuda,total,Drinking water,2017,99.85651,62949.54539,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2017,84.30675,9436330.071,On premises
BRA,Brazil,total,Drinking water,2017,90.10282,187264141.8,Available
BRB,Barbados,total,Drinking water,2017,88.88579,254416.9206,Available
BTN,Bhutan,total,Drinking water,2017,87.32963,651097.4056,Available
BWA,Botswana,total,Drinking water,2017,79.08613,1743909.194,On premises
CAF,Central African Republic,total,Drinking water,2017,38.04695,1748646.448,Available
CAN,Canada,total,Drinking water,2017,98.92851,36338505.74,On premises
CHE,Switzerland,total,Drinking water,2017,100,8455797,On premises
CHI,Channel Islands,total,Drinking water,2017,91.975,155130.5535,On premises
CHL,Chile,total,Drinking water,2017,99.39216,18358164.46,Available
CHN,China,total,Drinking water,2017,89.60957,1294586037,Available
CIV,Côte d’Ivoire,total,Drinking water,2017,56.96051,13919709.81,Available
CMR,Cameroon,total,Drinking water,2017,47.61293,11696626.37,Available
COD,Democratic Republic of the Congo,total,Drinking water,2017,41.62337,33880907.3,Available
COG,Congo,total,Drinking water,2017,52.37555,2676757.728,On premises
COK,Cook Islands,total,Drinking water,2017,87.42299,15303.39494,On premises
COL,Colombia,total,Drinking water,2017,75.83637,37091452.05,Available
COM,Comoros,total,Drinking water,2017,65.40977,532363.5704,On premises
CPV,Cabo Verde,total,Drinking water,2017,84.613,454794.0366,On premises
CRI,Costa Rica,total,Drinking water,2017,80.53079,3986237.988,Available
CUB,Cuba,total,Drinking water,2017,89.44488,10142382.97,Available
CUW,Curaçao,total,Drinking water,2017,99.1826,160661.9231,On premises
CYP,Cyprus,total,Drinking water,2017,99.77298,1177006.918,On premises
CZE,Czechia,total,Drinking water,2017,97.88132,10415582.2,On premises
DEU,Germany,total,Drinking water,2017,100,82658406.05,Available
DJI,Djibouti,total,Drinking water,2017,46.06123,434864.1067,On premises
DMA,Dominica,total,Drinking water,2017,52.1951,37298.61765,Available
DNK,Denmark,total,Drinking water,2017,96.73467,5545099.472,On premises
DOM,Dominican Republic,total,Drinking water,2017,72.25563,7596314.552,Available
DZA,Algeria,total,Drinking water,2017,74.60099,30876734.3,Available
ECU,Ecuador,total,Drinking water,2017,90.369,15168758.68,Available
EGY,Egypt,total,Drinking water,2017,71.37928,68840026.21,Available
ESP,Spain,total,Drinking water,2017,99.92628,46613034.74,On premises
EST,Estonia,total,Drinking water,2017,99.55437,1313509.362,Available
ETH,Ethiopia,total,Drinking water,2017,57.088,60741587.95,Available
FIN,Finland,total,Drinking water,2017,99.63312,5491151.914,On premises
FJI,Fiji,total,Drinking water,2017,94.25862,827081.7095,Available
FLK,Falkland Islands (Malvinas),total,Drinking water,2017,92.53711,2844.59071,On premises
FRA,France,total,Drinking water,2017,100,64842512,On premises
FRO,Faroe Islands,total,Drinking water,2017,100,48326,On premises
FSM,Micronesia (Federated States of),total,Drinking water,2017,72.63864,80963.75998,Available
GAB,Gabon,total,Drinking water,2017,69.74794,1440163.865,On premises
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2017,100,66727461,On premises
GEO,Georgia,total,Drinking water,2017,78.03035,3128020.674,Available
GHA,Ghana,total,Drinking water,2017,80.07772,23319803.55,Available
