ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Sanitation,2016,4.6721,4899.40029,Sewage treated
ALB,Albania,total,Sanitation,2016,3.99566,115331.789,Faecal sludge treated
AND,Andorra,total,Sanitation,2016,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2016,1.86969,175021.5371,Faecal sludge treated
ARG,Argentina,total,Sanitation,2016,7.29636,3174535.394,Faecal sludge treated
ARM,Armenia,total,Sanitation,2016,7.37822,216635.5304,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2016,23.32338,13000.21959,Sewage treated
AUS,Australia,total,Sanitation,2016,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2016,3.59096,314111.9719,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2016,0.99399,96775.53545,Faecal sludge treated
BEL,Belgium,total,Sanitation,2016,2.85019,323621.6167,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2016,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2016,2.58943,185194.5581,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2016,0,0,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2016,0.62405,21131.93775,Faecal sludge treated
BLR,Belarus,total,Sanitation,2016,3.77724,356784.5763,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2016,1.5,950.4,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2016,7.81225,861833.8947,Faecal sludge treated
BRA,Brazil,total,Sanitation,2016,4.14312,8541581.55,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2016,1.58124,11649.10682,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2016,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2016,13.1717,4792253.374,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2016,0.49059,41110.71997,Faecal sludge treated
CHI,Channel Islands,total,Sanitation,2016,0,0,Faecal sludge treated
CHL,Chile,total,Sanitation,2016,2.80515,510791.5745,Faecal sludge treated
CHN,China,total,Sanitation,2016,1.72931,24861759.88,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2016,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2016,0.84302,406125.6972,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2016,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2016,1.10376,125112.8861,Faecal sludge treated
CUW,Curaçao,total,Sanitation,2016,2.82928,4556.69687,Sewage treated
CYM,Cayman Islands,total,Sanitation,2016,16.2843,10188.10945,Sewage treated
CYP,Cyprus,total,Sanitation,2016,11.26575,131830.5505,Faecal sludge treated
CZE,Czechia,total,Sanitation,2016,0,0,Faecal sludge treated
DEU,Germany,total,Sanitation,2016,1.14484,940990.2861,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2016,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2016,0,0,Faecal sludge treated
DZA,Algeria,total,Sanitation,2016,0.17387,70506.79055,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2016,0.35822,59074.10407,Faecal sludge treated
EGY,Egypt,total,Sanitation,2016,6.58381,6218213.794,Faecal sludge treated
ESP,Spain,total,Sanitation,2016,1.7812,830648.5009,Faecal sludge treated
EST,Estonia,total,Sanitation,2016,5.55683,73156.04807,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2016,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2016,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2016,0,0,Faecal sludge treated
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2016,0.54071,358477.2256,Faecal sludge treated
GEO,Georgia,total,Sanitation,2016,0.11908,4781.61097,Faecal sludge treated
GHA,Ghana,total,Sanitation,2016,0,0,Faecal sludge treated
GMB,Gambia,total,Sanitation,2016,0,0,Faecal sludge treated
GNB,Guinea-Bissau,total,Sanitation,2016,0,0,Faecal sludge treated
GRC,Greece,total,Sanitation,2016,5.18193,550071.7267,Faecal sludge treated
GRL,Greenland,total,Sanitation,2016,0,0.00071,Faecal sludge treated
HKG,"China, Hong Kong Special Administrative Region",total,Sanitation,2016,1.52929,110774.7643,Faecal sludge treated
HND,Honduras,total,Sanitation,2016,1.89821,175979.143,Faecal sludge treated
HRV,Croatia,total,Sanitation,2016,10.4089,438070.3107,Faecal sludge treated
HUN,Hungary,total,Sanitation,2016,4.88112,476054.587,Faecal sludge treated
IND,India,total,Sanitation,2016,0,0,Faecal sludge treated
IRL,Ireland,total,Sanitation,2016,1.22834,57680.03628,Faecal sludge treated
IRN,Iran (Islamic Republic of),total,Sanitation,2016,24.96263,19861265.49,Sewage treated
IRQ,Iraq,total,Sanitation,2016,0,0,Faecal sludge treated
ISL,Iceland,total,Sanitation,2016,0,0,Faecal sludge treated
ISR,Israel,total,Sanitation,2016,0.18847,15282.89746,Faecal sludge treated
ITA,Italy,total,Sanitation,2016,0.81376,493653.0415,Faecal sludge treated
JAM,Jamaica,total,Sanitation,2016,7.50218,218031.6154,Sewage treated
JOR,Jordan,total,Sanitation,2016,8.5944,821133.2308,Faecal sludge treated
JPN,Japan,total,Sanitation,2016,4.86267,6212707.591,Faecal sludge treated
KAZ,Kazakhstan,total,Sanitation,2016,35.72676,6370402.806,Sewage treated
KGZ,Kyrgyzstan,total,Sanitation,2016,0,0,Faecal sludge treated
KIR,Kiribati,total,Sanitation,2016,0,0,Faecal sludge treated
KOR,Republic of Korea,total,Sanitation,2016,1.42209,725029.7348,Faecal sludge treated
KWT,Kuwait,total,Sanitation,2016,0,0,Faecal sludge treated
LAO,Lao People's Democratic Republic,total,Sanitation,2016,0,0,Faecal sludge treated
LBN,Lebanon,total,Sanitation,2016,0.5797,38922.77599,Faecal sludge treated
LBY,Libya,total,Sanitation,2016,1.56294,101468.2983,Faecal sludge treated
LIE,Liechtenstein,total,Sanitation,2016,0.025,9.41375,Faecal sludge treated
LSO,Lesotho,total,Sanitation,2016,0,0,Faecal sludge treated
LTU,Lithuania,total,Sanitation,2016,0.90964,26284.56657,Faecal sludge treated
LUX,Luxembourg,total,Sanitation,2016,0.44868,2599.04015,Faecal sludge treated
LVA,Latvia,total,Sanitation,2016,0,0,Faecal sludge treated
MAC,"China, Macao Special Administrative Region",total,Sanitation,2016,0,0,Faecal sludge treated
MAR,Morocco,total,Sanitation,2016,4.54043,1594883.544,Faecal sludge treated
MCO,Monaco,total,Sanitation,2016,0,0,Faecal sludge treated
MDA,Republic of Moldova,total,Sanitation,2016,27.25499,1108191.344,Sewage treated
MDG,Madagascar,total,Sanitation,2016,0,0,Faecal sludge treated
MEX,Mexico,total,Sanitation,2016,2.72725,3363605.882,Faecal sludge treated
MKD,North Macedonia,total,Sanitation,2016,0.53617,11156.42598,Faecal sludge treated
MLI,Mali,total,Sanitation,2016,0,0,Faecal sludge treated
MLT,Malta,total,Sanitation,2016,0,0,Faecal sludge treated
MMR,Myanmar,total,Sanitation,2016,0,0,Faecal sludge treated
MNE,Montenegro,total,Sanitation,2016,1.48545,9317.77074,Faecal sludge treated
MNG,Mongolia,total,Sanitation,2016,0,0,Faecal sludge treated
MUS,Mauritius,total,Sanitation,2016,16.37623,206646.7239,Sewage treated
MWI,Malawi,total,Sanitation,2016,0,0,Faecal sludge treated
MYS,Malaysia,total,Sanitation,2016,0,0,Faecal sludge treated
NER,Niger,total,Sanitation,2016,0,0,Faecal sludge treated
NGA,Nigeria,total,Sanitation,2016,0,0,Faecal sludge treated
NIC,Nicaragua,total,Sanitation,2016,19.15395,1207459.217,Sewage treated
NLD,Netherlands,total,Sanitation,2016,0.1138,19325.50108,Faecal sludge treated
NOR,Norway,total,Sanitation,2016,0.91282,47931.64801,Faecal sludge treated
NPL,Nepal,total,Sanitation,2016,0,0,Faecal sludge treated
NZL,New Zealand,total,Sanitation,2016,1.13038,52667.16777,Faecal sludge treated
OMN,Oman,total,Sanitation,2016,20.43939,915524.8063,Sewage treated
PER,Peru,total,Sanitation,2016,3.10554,960421.5577,Faecal sludge treated
