ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Sanitation,2014,4.6721,4848.5211,Sewage treated
ALB,Albania,total,Sanitation,2014,3.94279,114195.2529,Faecal sludge treated
AND,Andorra,total,Sanitation,2014,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2014,1.40217,129198.3009,Faecal sludge treated
ARG,Argentina,total,Sanitation,2014,7.50995,3202054.103,Faecal sludge treated
ARM,Armenia,total,Sanitation,2014,7.2602,211446.3891,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2014,24.28675,13549.81903,Sewage treated
AUS,Australia,total,Sanitation,2014,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2014,3.61793,311691.7972,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2014,1.05226,100023.6648,Faecal sludge treated
BEL,Belgium,total,Sanitation,2014,4.2305,474713.4703,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2014,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2014,2.80748,203420.3225,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2014,0,0,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2014,0.44824,15608.09551,Faecal sludge treated
BLR,Belarus,total,Sanitation,2014,3.78666,357147.7246,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2014,1.5,960.57006,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2014,7.32805,784578.7711,Faecal sludge treated
BRA,Brazil,total,Sanitation,2014,4.20295,8522057.556,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2014,1.74678,12560.24947,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2014,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2014,12.75422,4548709.298,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2014,0.67528,55413.662,Faecal sludge treated
CHI,Channel Islands,total,Sanitation,2014,0,0,Faecal sludge treated
CHL,Chile,total,Sanitation,2014,2.7725,492367.9323,Faecal sludge treated
CHN,China,total,Sanitation,2014,1.38245,19671552.63,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2014,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2014,0.83718,393202.5341,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2014,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2014,1.17429,132775.9866,Faecal sludge treated
CUW,Curaçao,total,Sanitation,2014,2.82928,4482.48485,Sewage treated
CYM,Cayman Islands,total,Sanitation,2014,16.2843,9908.67086,Sewage treated
CYP,Cyprus,total,Sanitation,2014,11.36251,130929.8359,Faecal sludge treated
CZE,Czechia,total,Sanitation,2014,0.17123,18135.51521,Faecal sludge treated
DEU,Germany,total,Sanitation,2014,1.1446,932283.0445,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2014,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2014,0,0,Faecal sludge treated
DZA,Algeria,total,Sanitation,2014,0.19545,76077.10176,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2014,0.37172,59295.76595,Faecal sludge treated
EGY,Egypt,total,Sanitation,2014,7.30894,6609083.862,Faecal sludge treated
ESP,Spain,total,Sanitation,2014,1.49069,697314.8139,Faecal sludge treated
EST,Estonia,total,Sanitation,2014,6.14585,80896.14789,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2014,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2014,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2014,0,0,Faecal sludge treated
FRO,Faroe Islands,total,Sanitation,2014,0,0,Disposed insitu
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2014,0.55585,363651.2933,Faecal sludge treated
GEO,Georgia,total,Sanitation,2014,0.18934,7640.63678,Faecal sludge treated
GHA,Ghana,total,Sanitation,2014,0,0,Faecal sludge treated
GMB,Gambia,total,Sanitation,2014,0,0,Faecal sludge treated
GNB,Guinea-Bissau,total,Sanitation,2014,0,0,Faecal sludge treated
GRC,Greece,total,Sanitation,2014,5.95416,637181.825,Faecal sludge treated
GRL,Greenland,total,Sanitation,2014,0,0,Faecal sludge treated
HKG,"China, Hong Kong Special Administrative Region",total,Sanitation,2014,1.51758,108274.3834,Faecal sludge treated
HND,Honduras,total,Sanitation,2014,1.88387,168711.8819,Faecal sludge treated
HRV,Croatia,total,Sanitation,2014,10.90809,464195.8117,Faecal sludge treated
HUN,Hungary,total,Sanitation,2014,6.31341,619028.9427,Faecal sludge treated
IND,India,total,Sanitation,2014,0,0,Faecal sludge treated
IRL,Ireland,total,Sanitation,2014,1.04748,48465.11868,Faecal sludge treated
IRN,Iran (Islamic Republic of),total,Sanitation,2014,22.49998,17429780.36,Sewage treated
IRQ,Iraq,total,Sanitation,2014,0,0,Faecal sludge treated
ISL,Iceland,total,Sanitation,2014,0,0,Faecal sludge treated
ISR,Israel,total,Sanitation,2014,0.18923,14862.6491,Faecal sludge treated
ITA,Italy,total,Sanitation,2014,0.82,495361.6653,Faecal sludge treated
JAM,Jamaica,total,Sanitation,2014,7.30181,209937.0908,Sewage treated
JOR,Jordan,total,Sanitation,2014,8.78938,783909.2927,Faecal sludge treated
JPN,Japan,total,Sanitation,2014,6.06206,7769661.397,Faecal sludge treated
KAZ,Kazakhstan,total,Sanitation,2014,36.54146,6322630.776,Sewage treated
KGZ,Kyrgyzstan,total,Sanitation,2014,0,0,Faecal sludge treated
KIR,Kiribati,total,Sanitation,2014,0,0,Faecal sludge treated
KOR,Republic of Korea,total,Sanitation,2014,1.27966,647606.9064,Faecal sludge treated
KWT,Kuwait,total,Sanitation,2014,0,0,Faecal sludge treated
LAO,Lao People's Democratic Republic,total,Sanitation,2014,0,0,Faecal sludge treated
LBN,Lebanon,total,Sanitation,2014,0.50099,31367.04005,Faecal sludge treated
LBY,Libya,total,Sanitation,2014,1.64699,104782.3829,Faecal sludge treated
LIE,Liechtenstein,total,Sanitation,2014,0.025,9.30475,Faecal sludge treated
LSO,Lesotho,total,Sanitation,2014,0,0,Faecal sludge treated
LTU,Lithuania,total,Sanitation,2014,0.54788,16280.10771,Faecal sludge treated
LUX,Luxembourg,total,Sanitation,2014,0.47058,2609.42356,Faecal sludge treated
LVA,Latvia,total,Sanitation,2014,0,0,Faecal sludge treated
MAC,"China, Macao Special Administrative Region",total,Sanitation,2014,0,0,Faecal sludge treated
MAR,Morocco,total,Sanitation,2014,4.58985,1569379.509,Faecal sludge treated
MCO,Monaco,total,Sanitation,2014,0,0,Faecal sludge treated
MDA,Republic of Moldova,total,Sanitation,2014,26.80811,1092003.632,Sewage treated
MDG,Madagascar,total,Sanitation,2014,0,0,Faecal sludge treated
MEX,Mexico,total,Sanitation,2014,2.50581,3015873.344,Faecal sludge treated
MKD,North Macedonia,total,Sanitation,2014,0.57514,11950.04054,Faecal sludge treated
MLI,Mali,total,Sanitation,2014,0,0,Faecal sludge treated
MLT,Malta,total,Sanitation,2014,0,0,Faecal sludge treated
MMR,Myanmar,total,Sanitation,2014,0,0,Faecal sludge treated
MNE,Montenegro,total,Sanitation,2014,1.22816,7696.25681,Faecal sludge treated
MNG,Mongolia,total,Sanitation,2014,0,0,Faecal sludge treated
MUS,Mauritius,total,Sanitation,2014,16.56549,208286.3876,Sewage treated
MWI,Malawi,total,Sanitation,2014,0,0,Faecal sludge treated
