ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
JOR,Jordan,total,Drinking water,2019,83.53672,8438626.319,Available
JPN,Japan,total,Drinking water,2019,98.56545,125040417.5,On premises
KAZ,Kazakhstan,total,Drinking water,2019,89.32126,16570369.6,On premises
KEN,Kenya,total,Drinking water,2019,60.73068,31928530.05,Available
KGZ,Kyrgyzstan,total,Drinking water,2019,81.67513,5240154.47,Available
KHM,Cambodia,total,Drinking water,2019,48.38562,7977116.222,On premises
KIR,Kiribati,total,Drinking water,2019,50.32014,59180.50729,Available
KOR,Republic of Korea,total,Drinking water,2019,99.83967,51143188.7,Available
KWT,Kuwait,total,Drinking water,2019,100,4207077,Available
LAO,Lao People's Democratic Republic,total,Drinking water,2019,85.58809,6136200.197,Available
LBN,Lebanon,total,Drinking water,2019,92.34765,6331085.81,Available
LBR,Liberia,total,Drinking water,2019,14.4376,712838.2015,On premises
LBY,Libya,total,Drinking water,2019,95.89586,6499297.034,Available
LCA,Saint Lucia,total,Drinking water,2019,72.55691,132630.396,Available
LIE,Liechtenstein,total,Drinking water,2019,100,38020,On premises
LKA,Sri Lanka,total,Drinking water,2019,87.4647,18650739.07,Available
LSO,Lesotho,total,Drinking water,2019,69.03269,1467128.93,Available
LTU,Lithuania,total,Drinking water,2019,94.89749,2618820.536,On premises
LUX,Luxembourg,total,Drinking water,2019,99.69498,613851.8853,On premises
LVA,Latvia,total,Drinking water,2019,96.0322,1831084.326,On premises
MAC,"China, Macao Special Administrative Region",total,Drinking water,2019,100,640446,Available
MAF,Saint Martin (French Part),total,Drinking water,2019,99.99927,0,On premises
MAR,Morocco,total,Drinking water,2019,91.31128,33302833.66,Available
MCO,Monaco,total,Drinking water,2019,100,38967,On premises
MDA,Republic of Moldova,total,Drinking water,2019,88.14904,3564093.132,Available
MDG,Madagascar,total,Drinking water,2019,43.83274,11821386.06,Available
MDV,Maldives,total,Drinking water,2019,75.10656,398783.5361,Available
MEX,Mexico,total,Drinking water,2019,68.54834,87450906.65,Available
MHL,Marshall Islands,total,Drinking water,2019,83.89316,49321.62661,Available
