ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Drinking water,2016,95.82921,100491.3054,On premises
AFG,Afghanistan,total,Drinking water,2016,39.26698,13893847.06,On premises
AGO,Angola,total,Drinking water,2016,30.84559,8896634.358,Available
AIA,Anguilla,total,Drinking water,2016,87.63656,12650.33809,Available
ALB,Albania,total,Drinking water,2016,70.61651,2038293.956,Available
AND,Andorra,total,Drinking water,2016,100,77294.99618,Available
ARE,United Arab Emirates,total,Drinking water,2016,99.97133,9358291.362,Available
ARG,Argentina,total,Drinking water,2016,97.51821,42428673.05,On premises
ARM,Armenia,total,Drinking water,2016,91.13914,2675979.179,Available
ASM,American Samoa,total,Drinking water,2016,97.30269,54235.54787,On premises
ATG,Antigua and Barbuda,total,Drinking water,2016,89.8707,84945.78947,Available
AUS,Australia,total,Drinking water,2016,95.87454,23261760.75,Available
AUT,Austria,total,Drinking water,2016,98.90781,8651768.579,Available
AZE,Azerbaijan,total,Drinking water,2016,87.74602,8542988.482,On premises
BDI,Burundi,total,Drinking water,2016,9.23485,968551.5672,On premises
BEL,Belgium,total,Drinking water,2016,100,11354407.15,On premises
BEN,Benin,total,Drinking water,2016,56.86425,6182322.5,Available
BFA,Burkina Faso,total,Drinking water,2016,54.26757,10118921.3,Available
BGD,Bangladesh,total,Drinking water,2016,95.43008,150757726.5,Available
BGR,Bulgaria,total,Drinking water,2016,97.32414,6960571.906,Available
BHR,Bahrain,total,Drinking water,2016,99.94452,1425001.926,Available
BHS,Bahamas,total,Drinking water,2016,97.93013,370100.502,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2016,88.83336,3008131.073,Available
BLM,Saint Barthélemy,total,Drinking water,2016,100,0,On premises
BLR,Belarus,total,Drinking water,2016,94.51099,8927165.808,On premises
BLZ,Belize,total,Drinking water,2016,95.84972,353109.4116,On premises
BMU,Bermuda,total,Drinking water,2016,99.85651,63269.08623,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2016,83.693,9232862.794,On premises
BRA,Brazil,total,Drinking water,2016,89.8061,185146999.9,Available
BRB,Barbados,total,Drinking water,2016,88.87677,254008.0274,Available
BTN,Bhutan,total,Drinking water,2016,87.00296,640955.9897,Available
BWA,Botswana,total,Drinking water,2016,77.73043,1678919.072,On premises
CAF,Central African Republic,total,Drinking water,2016,38.18324,1732634.244,Available
CAN,Canada,total,Drinking water,2016,98.87331,35973015.91,On premises
CHE,Switzerland,total,Drinking water,2016,100,8379915.243,On premises
CHI,Channel Islands,total,Drinking water,2016,91.975,153526.5095,On premises
CHL,Chile,total,Drinking water,2016,99.16988,18057914.61,Available
CHN,China,total,Drinking water,2016,89.05893,1280371352,Available
CIV,Côte d’Ivoire,total,Drinking water,2016,57.03623,13587584.17,Available
CMR,Cameroon,total,Drinking water,2016,47.18944,11290804.78,Available
COD,Democratic Republic of the Congo,total,Drinking water,2016,41.07415,32361965.68,Available
COG,Congo,total,Drinking water,2016,50.49156,2514982.486,On premises
COK,Cook Islands,total,Drinking water,2016,87.41776,15316.46637,On premises
COL,Colombia,total,Drinking water,2016,75.83791,36534951.86,Available
COM,Comoros,total,Drinking water,2016,65.39574,520286.518,On premises
CPV,Cabo Verde,total,Drinking water,2016,83.29197,442396.952,On premises
CRI,Costa Rica,total,Drinking water,2016,80.40471,3939296.798,Available
CUB,Cuba,total,Drinking water,2016,89.2883,10120925.49,Available
CUW,Curaçao,total,Drinking water,2016,99.1826,159738.5331,On premises
CYM,Cayman Islands,total,Drinking water,2016,82.37913,51539.67577,Available
CYP,Cyprus,total,Drinking water,2016,99.78076,1167623.487,On premises
CZE,Czechia,total,Drinking water,2016,97.881,10393853.97,On premises
DEU,Germany,total,Drinking water,2016,100,82193774.04,Available
DJI,Djibouti,total,Drinking water,2016,45.94287,426863.0363,On premises
DMA,Dominica,total,Drinking water,2016,52.1951,37218.75915,Available
DNK,Denmark,total,Drinking water,2016,96.73594,5524924.065,On premises
DOM,Dominican Republic,total,Drinking water,2016,72.04587,7491140.399,Available
DZA,Algeria,total,Drinking water,2016,75.30263,30536271.33,Available
ECU,Ecuador,total,Drinking water,2016,89.88899,14823696.31,Available
EGY,Egypt,total,Drinking water,2016,71.34322,67381581.77,Available
ERI,Eritrea,total,Drinking water,2016,34.01402,1148503.079,On premises
ESP,Spain,total,Drinking water,2016,99.9265,46599857.52,On premises
EST,Estonia,total,Drinking water,2016,99.53616,1310400.502,Available
ETH,Ethiopia,total,Drinking water,2016,54.76261,56735960.63,Available
FIN,Finland,total,Drinking water,2016,99.63187,5477475.297,On premises
FJI,Fiji,total,Drinking water,2016,94.26045,822333.8163,Available
FLK,Falkland Islands (Malvinas),total,Drinking water,2016,92.38585,2703.21003,On premises
FRA,France,total,Drinking water,2016,100,64667588,On premises
FRO,Faroe Islands,total,Drinking water,2016,100,48173,On premises
FSM,Micronesia (Federated States of),total,Drinking water,2016,72.63864,80058.68247,Available
GAB,Gabon,total,Drinking water,2016,69.39946,1393459.193,On premises
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2016,100,66297944.99,On premises
GEO,Georgia,total,Drinking water,2016,77.89259,3127743.371,Available
GHA,Ghana,total,Drinking water,2016,78.49848,22357896.66,Available
GIB,Gibraltar,total,Drinking water,2016,100,33738,On premises
GIN,Guinea,total,Drinking water,2016,45.71074,5365724.494,Available
GLP,Guadeloupe,total,Drinking water,2016,99.53029,397882.2827,On premises
GMB,Gambia,total,Drinking water,2016,76.54519,1645058.761,Available
GNB,Guinea-Bissau,total,Drinking water,2016,55.97068,997640.4671,Available
GNQ,Equatorial Guinea,total,Drinking water,2016,16.60334,201760.6801,On premises
GRC,Greece,total,Drinking water,2016,100,10615182.76,On premises
GRD,Grenada,total,Drinking water,2016,92.25101,101718.7296,Available
GRL,Greenland,total,Drinking water,2016,96.75042,54574.97493,On premises
GTM,Guatemala,total,Drinking water,2016,60.61878,10052459.51,Available
GUF,French Guiana,total,Drinking water,2016,90.33807,241947.0437,On premises
GUM,Guam,total,Drinking water,2016,99.54117,162200.3514,On premises
GUY,Guyana,total,Drinking water,2016,94.38488,728050.0401,On premises
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2016,100,7243541,On premises
HND,Honduras,total,Drinking water,2016,59.68472,5533247.581,Available
HTI,Haiti,total,Drinking water,2016,62.03567,6724651.304,Available
HUN,Hungary,total,Drinking water,2016,99.97081,9750122.827,Available
IDN,Indonesia,total,Drinking water,2016,82.01277,214509641.1,Available
IMN,Isle of Man,total,Drinking water,2016,97.20756,80970.0133,On premises
IND,India,total,Drinking water,2016,65.67252,869843826.9,Available
IRL,Ireland,total,Drinking water,2016,97.31147,4569542.13,On premises
IRN,Iran (Islamic Republic of),total,Drinking water,2016,93.39462,74308490.95,On premises
IRQ,Iraq,total,Drinking water,2016,68.36364,25028358.88,Available
ISL,Iceland,total,Drinking water,2016,100,332209.0057,On premises
ISR,Israel,total,Drinking water,2016,100,8108983.939,On premises
ITA,Italy,total,Drinking water,2016,97.83971,59352572.68,On premises
JAM,Jamaica,total,Drinking water,2016,45.08872,1310387.384,Available
JOR,Jordan,total,Drinking water,2016,77.0465,7361243.264,Available
JPN,Japan,total,Drinking water,2016,98.42292,125748339.2,On premises
KAZ,Kazakhstan,total,Drinking water,2016,87.68541,15635100.41,On premises
KEN,Kenya,total,Drinking water,2016,56.52787,27727786.25,Available
KGZ,Kyrgyzstan,total,Drinking water,2016,80.17169,4869890.345,Available
KHM,Cambodia,total,Drinking water,2016,48.01236,7569768.319,On premises
KIR,Kiribati,total,Drinking water,2016,48.63523,54728.7414,Available
KNA,Saint Kitts and Nevis,total,Drinking water,2016,86.77843,44802.83647,Available
KOR,Republic of Korea,total,Drinking water,2016,99.56448,50761399.1,Available
KWT,Kuwait,total,Drinking water,2016,100,3956862,Available
LAO,Lao People's Democratic Republic,total,Drinking water,2016,79.67023,5454102.58,Available
LBN,Lebanon,total,Drinking water,2016,88.58352,5947746.34,Available
LBR,Liberia,total,Drinking water,2016,13.11063,601356.7944,On premises
LBY,Libya,total,Drinking water,2016,94.22552,6117271.605,Available
LCA,Saint Lucia,total,Drinking water,2016,71.89079,129423.5538,Available
LIE,Liechtenstein,total,Drinking water,2016,100,37655,On premises
LKA,Sri Lanka,total,Drinking water,2016,85.86797,18050457.81,Available
LSO,Lesotho,total,Drinking water,2016,68.48745,1421142.716,Available
LTU,Lithuania,total,Drinking water,2016,93.99288,2715976.019,On premises
LUX,Luxembourg,total,Drinking water,2016,99.76517,577905.7004,On premises
