Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Canada,CAN,8.2,6.2,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5,4.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Central African Republic,CAF,176.8,169.8,143.4,139.4,135.8,131.4,126.7,121.6,117.5,114.2,110.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chad,TCD,212.1,185.1,144.5,140.7,136.8,133.1,129.4,125.6,121.5,117.7,113.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chile,CHL,19.1,10.9,8.5,8.4,8.3,8.1,7.9,7.7,7.4,7.2,7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,China,CHN,53.8,36.8,14.6,13.5,12.5,11.6,10.7,9.9,9.2,8.5,7.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Colombia,COL,35.1,24.9,17.8,17.2,16.7,16.1,15.6,15.1,14.7,14.2,13.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Comoros,COM,124.4,100.4,81.6,79.1,76.8,74.3,71.9,69.5,67.3,65.1,62.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Dem. Rep.",COD,185.4,159.5,110.9,107.3,103.8,100.4,97.2,93.9,90.8,87.6,84.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Rep.",COG,90.4,114,60.3,58.8,57.4,55.9,54.2,52.6,50.9,49.3,47.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Costa Rica,CRI,16.9,13.1,10.2,9.9,9.6,9.3,9,8.9,8.8,8.7,8.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cote d'Ivoire,CIV,152.3,142.3,103.2,100.2,96.9,93.6,90.6,88,85.3,82.4,79.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Croatia,HRV,12.8,8.3,5.3,5.2,5.1,5,4.9,4.9,4.9,4.8,4.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cuba,CUB,13.5,8.8,6.1,6,5.8,5.7,5.6,5.5,5.3,5.2,5.1,..
