ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ALB,Albania,total,Sanitation,2018,4.04273,116541.3147,Faecal sludge treated
AND,Andorra,total,Sanitation,2018,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2018,2.33729,225103.3324,Faecal sludge treated
ARM,Armenia,total,Sanitation,2018,7.41036,218734.5901,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2018,22.8417,12668.2345,Sewage treated
AUS,Australia,total,Sanitation,2018,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2018,3.56401,316890.0978,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2018,0.90356,89900.36207,Faecal sludge treated
BEL,Belgium,total,Sanitation,2018,1.46987,168773.1516,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2018,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2018,2.51266,177182.9031,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2018,0,0,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2018,0.79655,26476.81342,Faecal sludge treated
BLR,Belarus,total,Sanitation,2018,3.86892,365713.7847,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2018,1.5,941.445,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2018,8.30164,942497.1055,Faecal sludge treated
BRA,Brazil,total,Sanitation,2018,4.06732,8519777.093,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2018,1.53423,11574.20062,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2018,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2018,13.59848,5041576.794,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2018,0.30423,25937.53251,Faecal sludge treated
CHL,Chile,total,Sanitation,2018,2.6778,501528.8112,Faecal sludge treated
CHN,China,total,Sanitation,2018,2.12678,30867530.76,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2018,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2018,0.84808,421166.6105,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2018,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2018,1.02733,116479.9529,Faecal sludge treated
CYP,Cyprus,total,Sanitation,2018,11.15726,132689.0463,Faecal sludge treated
CZE,Czechia,total,Sanitation,2018,0,0,Faecal sludge treated
DEU,Germany,total,Sanitation,2018,1.14254,949726.947,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2018,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2018,0,0,Faecal sludge treated
DZA,Algeria,total,Sanitation,2018,0.15267,64471.77722,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2018,0.32419,55385.50086,Faecal sludge treated
EGY,Egypt,total,Sanitation,2018,5.88039,5787686.823,Faecal sludge treated
ESP,Spain,total,Sanitation,2018,1.78126,831723.1611,Faecal sludge treated
EST,Estonia,total,Sanitation,2018,4.96545,65688.59171,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2018,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2018,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2018,0,0,Faecal sludge treated
