ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Drinking water,2014,95.82921,99447.72525,On premises
AFG,Afghanistan,total,Drinking water,2014,35.00246,11680600.93,On premises
AGO,Angola,total,Drinking water,2014,30.89685,8324160.131,Available
AIA,Anguilla,total,Drinking water,2014,87.63656,12369.02472,Available
ALB,Albania,total,Drinking water,2014,70.56326,2043728.633,Available
AND,Andorra,total,Drinking water,2014,100,79213.00095,Available
ARE,United Arab Emirates,total,Drinking water,2014,99.97133,9211540.597,Available
ARG,Argentina,total,Drinking water,2014,97.12552,41411899.75,On premises
ARM,Armenia,total,Drinking water,2014,91.12401,2653898.318,Available
ASM,American Samoa,total,Drinking water,2014,94.84364,52914.21433,On premises
ATG,Antigua and Barbuda,total,Drinking water,2014,89.8707,83186.12108,Available
AUS,Australia,total,Drinking water,2014,95.86639,22621041.9,Available
AUT,Austria,total,Drinking water,2014,98.91103,8521388.158,Available
AZE,Azerbaijan,total,Drinking water,2014,84.94679,8074715.342,On premises
BDI,Burundi,total,Drinking water,2014,8.49205,835982.5422,On premises
BEL,Belgium,total,Drinking water,2014,100,11221224.69,On premises
BEN,Benin,total,Drinking water,2014,56.46652,5808619.964,Available
BFA,Burkina Faso,total,Drinking water,2014,53.62614,9430709.8,Available
BGD,Bangladesh,total,Drinking water,2014,95.15992,147038619.6,Available
BGR,Bulgaria,total,Drinking water,2014,97.18131,7041415.641,Available
BHR,Bahrain,total,Drinking water,2014,99.95195,1335430.986,Available
BHS,Bahamas,total,Drinking water,2014,97.89873,362837.18,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2014,88.81719,3092708.533,Available
BLM,Saint Barthélemy,total,Drinking water,2014,99.86387,0,On premises
BLR,Belarus,total,Drinking water,2014,94.45894,8909123.883,On premises
BLZ,Belize,total,Drinking water,2014,94.5163,333988.4653,On premises
BMU,Bermuda,total,Drinking water,2014,99.85651,63946.11738,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2014,82.44973,8827494.376,On premises
BRA,Brazil,total,Drinking water,2014,89.42276,181316929.2,Available
BRB,Barbados,total,Drinking water,2014,88.85872,253091.8414,Available
BRN,Brunei Darussalam,total,Drinking water,2014,99.458,407556.9857,On premises
BTN,Bhutan,total,Drinking water,2014,85.78474,616837.7391,Available
BWA,Botswana,total,Drinking water,2014,74.97844,1566013.856,On premises
CAF,Central African Republic,total,Drinking water,2014,38.41992,1715130.892,Available
CAN,Canada,total,Drinking water,2014,98.76271,35223067.95,On premises
CHE,Switzerland,total,Drinking water,2014,100,8206003.246,On premises
CHI,Channel Islands,total,Drinking water,2014,91.975,150937.4133,On premises
CHL,Chile,total,Drinking water,2014,98.71888,17531454.7,Available
CHN,China,total,Drinking water,2014,87.87189,1250369630,Available
CIV,Côte d’Ivoire,total,Drinking water,2014,57.18342,12950713.14,Available
CMR,Cameroon,total,Drinking water,2014,46.33334,10509260.68,Available
COD,Democratic Republic of the Congo,total,Drinking water,2014,39.97699,29490005.37,Available
COG,Congo,total,Drinking water,2014,46.7858,2216227.039,On premises
COK,Cook Islands,total,Drinking water,2014,87.4073,15457.98184,On premises
COL,Colombia,total,Drinking water,2014,75.77767,35591035.31,Available
COM,Comoros,total,Drinking water,2014,65.44557,496987.0866,On premises
CPV,Cabo Verde,total,Drinking water,2014,80.3314,416338.3834,On premises
CRI,Costa Rica,total,Drinking water,2014,80.07479,3839898.695,Available
CUB,Cuba,total,Drinking water,2014,88.97461,10060278.44,Available
CUW,Curaçao,total,Drinking water,2014,99.1826,157136.9736,On premises
CYM,Cayman Islands,total,Drinking water,2014,82.37913,50126.04998,Available
CYP,Cyprus,total,Drinking water,2014,99.79627,1149949.386,On premises
CZE,Czechia,total,Drinking water,2014,97.88044,10366619.63,On premises
DEU,Germany,total,Drinking water,2014,100,81450368,Available
DJI,Djibouti,total,Drinking water,2014,45.72079,410895.9298,On premises
DMA,Dominica,total,Drinking water,2014,52.1951,37106.01774,Available
DNK,Denmark,total,Drinking water,2014,96.73849,5479460.522,On premises
DOM,Dominican Republic,total,Drinking water,2014,71.60175,7278448.264,Available
DZA,Algeria,total,Drinking water,2014,76.6443,29832789.95,Available
ECU,Ecuador,total,Drinking water,2014,88.64583,14140633.89,Available
EGY,Egypt,total,Drinking water,2014,71.27677,64451786.01,Available
ERI,Eritrea,total,Drinking water,2014,33.19865,1099354.857,On premises
ESP,Spain,total,Drinking water,2014,99.92694,46743749.91,On premises
EST,Estonia,total,Drinking water,2014,99.75022,1312985.185,Available
ETH,Ethiopia,total,Drinking water,2014,50.06773,49113574.89,Available
FIN,Finland,total,Drinking water,2014,99.62938,5441168.834,On premises
FJI,Fiji,total,Drinking water,2014,94.26504,816756.6228,Available
FLK,Falkland Islands (Malvinas),total,Drinking water,2014,92.06924,2565.96983,On premises
FRA,France,total,Drinking water,2014,100,64193552,On premises
FRO,Faroe Islands,total,Drinking water,2014,100,47965,On premises
FSM,Micronesia (Federated States of),total,Drinking water,2014,72.47464,77869.64742,Available
GAB,Gabon,total,Drinking water,2014,68.6589,1293396.978,On premises
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2014,100,65423047.03,On premises
GEO,Georgia,total,Drinking water,2014,77.61646,3132064.911,Available
GHA,Ghana,total,Drinking water,2014,75.38594,20523430.34,Available
GIB,Gibraltar,total,Drinking water,2014,100,33726,On premises
GIN,Guinea,total,Drinking water,2014,44.45636,4957315.451,Available
GLP,Guadeloupe,total,Drinking water,2014,99.37676,398803.9251,On premises
GMB,Gambia,total,Drinking water,2014,76.01035,1538477.67,Available
GNB,Guinea-Bissau,total,Drinking water,2014,54.91143,929339.2335,Available
GNQ,Equatorial Guinea,total,Drinking water,2014,16.38714,183908.4282,On premises
GRC,Greece,total,Drinking water,2014,100,10701459.76,On premises
GRD,Grenada,total,Drinking water,2014,92.25101,100461.3484,Available
GRL,Greenland,total,Drinking water,2014,96.75606,54553.96717,On premises
GTM,Guatemala,total,Drinking water,2014,59.32645,9446691.961,Available
GUF,French Guiana,total,Drinking water,2014,90.18774,229780.3315,On premises
GUM,Guam,total,Drinking water,2014,99.54117,160268.2572,On premises
GUY,Guyana,total,Drinking water,2014,92.59,706805.2198,On premises
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2014,99.86029,7124700.02,On premises
HND,Honduras,total,Drinking water,2014,59.34514,5314700.816,Available
HTI,Haiti,total,Drinking water,2014,60.9409,6428659.854,Available
HUN,Hungary,total,Drinking water,2014,99.97025,9802074.189,Available
IDN,Indonesia,total,Drinking water,2014,80.52017,205429569.2,Available
IMN,Isle of Man,total,Drinking water,2014,97.20756,81156.65183,On premises
IND,India,total,Drinking water,2014,67.49364,874448085.7,Available
IRL,Ireland,total,Drinking water,2014,97.28804,4501373.559,On premises
IRN,Iran (Islamic Republic of),total,Drinking water,2014,93.0776,72103276.09,On premises
IRQ,Iraq,total,Drinking water,2014,65.73779,22621653.22,Available
ISL,Iceland,total,Drinking water,2014,100,328592.0076,On premises
ISR,Israel,total,Drinking water,2014,100,7854215.939,On premises
ITA,Italy,total,Drinking water,2014,97.83971,59104599.88,On premises
JAM,Jamaica,total,Drinking water,2014,49.49618,1423083.046,Available
JOR,Jordan,total,Drinking water,2014,72.72106,6485861.905,Available
JPN,Japan,total,Drinking water,2014,98.32794,126025577.9,On premises
KAZ,Kazakhstan,total,Drinking water,2014,84.48871,14618760.83,On premises
KEN,Kenya,total,Drinking water,2014,53.78653,25118341.81,Available
KGZ,Kyrgyzstan,total,Drinking water,2014,78.99474,4616864.235,Available
KHM,Cambodia,total,Drinking water,2014,47.58576,7268489.148,On premises
KIR,Kiribati,total,Drinking water,2014,47.51172,51971.64801,Available
KNA,Saint Kitts and Nevis,total,Drinking water,2014,86.77843,44062.61645,Available
KOR,Republic of Korea,total,Drinking water,2014,99.38102,50294649.35,Available
KWT,Kuwait,total,Drinking water,2014,100,3690939,Available
LAO,Lao People's Democratic Republic,total,Drinking water,2014,75.64939,5022940.538,Available
LBN,Lebanon,total,Drinking water,2014,85.16772,5332390.436,Available
LBR,Liberia,total,Drinking water,2014,12.05208,525411.5221,On premises
LBY,Libya,total,Drinking water,2014,92.55518,5888396.635,Available
LCA,Saint Lucia,total,Drinking water,2014,71.23424,127015.6293,Available
LIE,Liechtenstein,total,Drinking water,2014,100,37219,On premises
LKA,Sri Lanka,total,Drinking water,2014,84.30804,17526386.54,Available
LSO,Lesotho,total,Drinking water,2014,68.1284,1392168.404,Available
LTU,Lithuania,total,Drinking water,2014,93.09434,2766296.491,On premises
LUX,Luxembourg,total,Drinking water,2014,99.85406,553702.7387,On premises
LVA,Latvia,total,Drinking water,2014,94.75759,1915259.404,On premises
MAC,"China, Macao Special Administrative Region",total,Drinking water,2014,100,590210,Available
MAF,Saint Martin (French Part),total,Drinking water,2014,99.66233,0,On premises
MAR,Morocco,total,Drinking water,2014,85.4783,29227048.67,Available
MCO,Monaco,total,Drinking water,2014,100,37320,On premises
MDA,Republic of Moldova,total,Drinking water,2014,86.20202,3511359.035,Available
MDG,Madagascar,total,Drinking water,2014,40.27917,9501815.334,Available
MDV,Maldives,total,Drinking water,2014,74.0357,322068.6133,Available
MEX,Mexico,total,Drinking water,2014,69.43442,83567890.36,Available
MHL,Marshall Islands,total,Drinking water,2014,78.80259,45061.68764,Available
MKD,North Macedonia,total,Drinking water,2014,80.33566,1669198.264,Available
MLI,Mali,total,Drinking water,2014,63.6735,10782605.98,Available
MLT,Malta,total,Drinking water,2014,100,430190.0056,On premises
MMR,Myanmar,total,Drinking water,2014,69.39297,36279213.29,Available
MNE,Montenegro,total,Drinking water,2014,84.62296,530289.7989,Available
MNG,Mongolia,total,Drinking water,2014,70.73137,2079580.663,Available
MNP,Northern Mariana Islands,total,Drinking water,2014,88.8518,49135.93569,Available
MOZ,Mozambique,total,Drinking water,2014,21.27782,5593127.977,On premises
MRT,Mauritania,total,Drinking water,2014,40.052,1574401.5,On premises
MSR,Montserrat,total,Drinking water,2014,98.06949,4856.40105,On premises
MTQ,Martinique,total,Drinking water,2014,99.67879,379917.7483,On premises
MUS,Mauritius,total,Drinking water,2014,72.90261,916641.6759,Available
MWI,Malawi,total,Drinking water,2014,63.59662,10359603.61,Available
MYS,Malaysia,total,Drinking water,2014,93.52266,27932044.66,On premises
MYT,Mayotte,total,Drinking water,2014,88.35106,206439.329,On premises
NAM,Namibia,total,Drinking water,2014,57.95595,1317585.549,On premises
NCL,New Caledonia,total,Drinking water,2014,95.13467,254705.957,On premises
NER,Niger,total,Drinking water,2014,28.62599,5507691.815,Available
NGA,Nigeria,total,Drinking water,2014,59.97269,105794797.7,Available
NIC,Nicaragua,total,Drinking water,2014,55.0808,3383466.795,Available
NIU,Niue,total,Drinking water,2014,97.75496,1570.92213,Available
NLD,Netherlands,total,Drinking water,2014,100,16892518.49,On premises
NOR,Norway,total,Drinking water,2014,100,5142269.185,On premises
NPL,Nepal,total,Drinking water,2014,77.17179,20763827.5,Available
NRU,Nauru,total,Drinking water,2014,99.4,10227.266,On premises
NZL,New Zealand,total,Drinking water,2014,100,4567522.123,On premises
OMN,Oman,total,Drinking water,2014,88.09872,3547960.003,On premises
PAK,Pakistan,total,Drinking water,2014,78.41128,153141163.8,Available
PAN,Panama,total,Drinking water,2014,82.29105,3210429.927,Available
PER,Peru,total,Drinking water,2014,71.94815,21649466.2,Available
PHL,Philippines,total,Drinking water,2014,84.16281,84594690.42,Available
PLW,Palau,total,Drinking water,2014,99.61412,17556.98936,Available
PNG,Papua New Guinea,total,Drinking water,2014,24.3396,1934203.394,Available
POL,Poland,total,Drinking water,2014,95.38261,36332276.07,On premises
PRI,Puerto Rico,total,Drinking water,2014,92.89581,3208312.083,Available
PRK,Democratic People's Republic of Korea,total,Drinking water,2014,94.96927,23797201.68,Available
PRT,Portugal,total,Drinking water,2014,95.33423,9932134.102,Available
PRY,Paraguay,total,Drinking water,2014,83.01354,5478498.351,Available
PSE,State of Palestine,total,Drinking water,2014,87.33289,3867653.855,Available
PYF,French Polynesia,total,Drinking water,2014,97.16936,264021.7721,On premises
QAT,Qatar,total,Drinking water,2014,99.7532,2453132.717,Available
REU,Réunion,total,Drinking water,2014,99.72945,854641.488,On premises
ROU,Romania,total,Drinking water,2014,81.90562,16410550.7,On premises
RUS,Russian Federation,total,Drinking water,2014,75.57196,109326065.9,On premises
RWA,Rwanda,total,Drinking water,2014,67.73693,7507709.627,Available
SAU,Saudi Arabia,total,Drinking water,2014,98.40322,30422934.42,On premises
SDN,Sudan,total,Drinking water,2014,79.76581,30293183.3,Available
SEN,Senegal,total,Drinking water,2014,48.64758,6895667.434,Available
SGP,Singapore,total,Drinking water,2014,100,5525628,On premises
SHN,Saint Helena,total,Drinking water,2014,98.34985,5642.33068,On premises
SLB,Solomon Islands,total,Drinking water,2014,38.34747,225129.9269,Available
SLE,Sierra Leone,total,Drinking water,2014,47.21553,3313186.169,Available
SLV,El Salvador,total,Drinking water,2014,73.91003,4652728.038,Available
SMR,San Marino,total,Drinking water,2014,100,32941,Available
SOM,Somalia,total,Drinking water,2014,49.76804,6680648.354,Available
SPM,Saint Pierre and Miquelon,total,Drinking water,2014,91.4,5550.722,Available
SRB,Serbia,total,Drinking water,2014,91.81257,8169742.942,Available
SSD,South Sudan,total,Drinking water,2014,2.18548,230674.7309,On premises
STP,Sao Tome and Principe,total,Drinking water,2014,65.93964,129061.675,Available
SUR,Suriname,total,Drinking water,2014,80.31985,444392.059,Available
SVK,Slovakia,total,Drinking water,2014,99.78675,5417221.131,On premises
SVN,Slovenia,total,Drinking water,2014,98.27432,2031809.792,On premises
SWE,Sweden,total,Drinking water,2014,99.75825,9668705.847,On premises
SWZ,Eswatini,total,Drinking water,2014,45.50784,498320.8069,On premises
SXM,Sint Maarten (Dutch part),total,Drinking water,2014,93.03044,36162.79142,On premises
SYC,Seychelles,total,Drinking water,2014,94.93571,89442.73353,On premises
SYR,Syrian Arab Republic,total,Drinking water,2014,93.19596,17437625.04,Available
TCA,Turks and Caicos Islands,total,Drinking water,2014,90.45448,31994.65523,On premises
TCD,Chad,total,Drinking water,2014,45.54199,6222657.993,Available
TGO,Togo,total,Drinking water,2014,56.82908,4056458.269,Available
THA,Thailand,total,Drinking water,2014,98.67672,67533117.18,Available
TJK,Tajikistan,total,Drinking water,2014,51.04946,4213024.445,Available
TKL,Tokelau,total,Drinking water,2014,90.45702,1100.86197,On premises
TKM,Turkmenistan,total,Drinking water,2014,97.66498,5338684.334,Available
TLS,Timor-Leste,total,Drinking water,2014,57.25888,672409.8796,On premises
TON,Tonga,total,Drinking water,2014,90.66329,91590.77649,Available
TTO,Trinidad and Tobago,total,Drinking water,2014,80.58558,1097847.11,Available
TUN,Tunisia,total,Drinking water,2014,79.00243,8740192.484,Available
TUR,Turkey,total,Drinking water,2014,92.07323,71107474.56,On premises
TUV,Tuvalu,total,Drinking water,2014,97.7,10720.621,On premises
TZA,United Republic of Tanzania,total,Drinking water,2014,29.06602,14521546.71,Available
UGA,Uganda,total,Drinking water,2014,67.69396,24986877.17,Available
UKR,Ukraine,total,Drinking water,2014,91.81176,41417689.65,On premises
URY,Uruguay,total,Drinking water,2014,99.53648,3384677.215,Available
USA,United States of America,total,Drinking water,2014,96.22654,306648440.8,Available
UZB,Uzbekistan,total,Drinking water,2014,58.83591,17901645.74,On premises
VCT,Saint Vincent and the Grenadines,total,Drinking water,2014,69.83659,76029.70034,Available
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2014,53.33105,16022233.4,Available
VGB,British Virgin Islands,total,Drinking water,2014,97.99269,28403.18216,On premises
VIR,United States Virgin Islands,total,Drinking water,2014,97.936,102937.5961,On premises
VNM,Viet Nam,total,Drinking water,2014,92.42199,84763766.98,On premises
VUT,Vanuatu,total,Drinking water,2014,49.23961,129937.4328,On premises
WLF,Wallis and Futuna Islands,total,Drinking water,2014,98.61573,12167.20901,On premises
WSM,Samoa,total,Drinking water,2014,74.65368,143499.2956,Available
YEM,Yemen,total,Drinking water,2014,50.58043,13061630.32,Available
ZAF,South Africa,total,Drinking water,2014,73.96382,40342963.86,Available
ZMB,Zambia,total,Drinking water,2014,48.11827,7410113.616,Available
ZWE,Zimbabwe,total,Drinking water,2014,60.05887,8160023.955,Available
