ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ROU,Romania,total,Sanitation,2010,15.4066,3154018.279,Faecal sludge treated
RUS,Russian Federation,total,Sanitation,2010,3.95584,5675804.412,Faecal sludge treated
SAU,Saudi Arabia,total,Sanitation,2010,0.25488,69892.12419,Faecal sludge treated
SEN,Senegal,total,Sanitation,2010,0,0,Faecal sludge treated
SGP,Singapore,total,Sanitation,2010,0,0,Faecal sludge treated
SLE,Sierra Leone,total,Sanitation,2010,0,0,Faecal sludge treated
SLV,El Salvador,total,Sanitation,2010,1.57739,97543.59744,Sewage treated
SMR,San Marino,total,Sanitation,2010,0,0,Faecal sludge treated
SOM,Somalia,total,Sanitation,2010,0,0,Faecal sludge treated
SRB,Serbia,total,Sanitation,2010,0.26324,23668.40414,Faecal sludge treated
STP,Sao Tome and Principe,total,Sanitation,2010,0,0,Faecal sludge treated
SUR,Suriname,total,Sanitation,2010,0,0,Faecal sludge treated
SVK,Slovakia,total,Sanitation,2010,8.20284,443305.4935,Faecal sludge treated
SVN,Slovenia,total,Sanitation,2010,1.56593,31997.25589,Faecal sludge treated
SWE,Sweden,total,Sanitation,2010,3.87116,363507.7451,Faecal sludge treated
SWZ,Eswatini,total,Sanitation,2010,3.22906,34384.40445,Sewage treated
TCD,Chad,total,Sanitation,2010,0,0,Faecal sludge treated
TGO,Togo,total,Sanitation,2010,0,0,Faecal sludge treated
THA,Thailand,total,Sanitation,2010,0,0,Faecal sludge treated
TON,Tonga,total,Sanitation,2010,0,0,Faecal sludge treated
TUN,Tunisia,total,Sanitation,2010,0.7158,76127.40011,Faecal sludge treated
TUR,Turkey,total,Sanitation,2010,5.48129,3964450.166,Faecal sludge treated
TUV,Tuvalu,total,Sanitation,2010,0,0,Faecal sludge treated
TZA,United Republic of Tanzania,total,Sanitation,2010,0,0,Faecal sludge treated
UGA,Uganda,total,Sanitation,2010,0.07883,25562.58305,Sewage treated
UKR,Ukraine,total,Sanitation,2010,8.61433,3944682.744,Faecal sludge treated
USA,United States of America,total,Sanitation,2010,9.56582,29559467,Faecal sludge treated
VEN,Venezuela (Bolivarian Republic of),total,Sanitation,2010,0.25366,72139.61501,Faecal sludge treated
WSM,Samoa,total,Sanitation,2010,0,0,Faecal sludge treated
YEM,Yemen,total,Sanitation,2010,3.46048,801269.0234,Faecal sludge treated
ZWE,Zimbabwe,total,Sanitation,2010,0.03354,4258.57417,Faecal sludge treated
