ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Drinking water,2010,95.32473,96911.88364,On premises
AFG,Afghanistan,total,Drinking water,2010,27.22201,7944884.297,On premises
AGO,Angola,total,Drinking water,2010,30.96216,7231598.425,Available
AIA,Anguilla,total,Drinking water,2010,87.36416,11738.24834,Available
ALB,Albania,total,Drinking water,2010,62.30063,1836640.615,Available
AND,Andorra,total,Drinking water,2010,100,84454.00194,Available
ARE,United Arab Emirates,total,Drinking water,2010,99.97134,8547547.277,Available
ARG,Argentina,total,Drinking water,2010,95.93714,39234214.58,On premises
ARM,Armenia,total,Drinking water,2010,90.53614,2605008.956,Available
ASM,American Samoa,total,Drinking water,2010,89.94705,50445.9024,On premises
ATG,Antigua and Barbuda,total,Drinking water,2010,90.19541,79399.01631,Available
AUS,Australia,total,Drinking water,2010,94.89898,21024573.14,Available
AUT,Austria,total,Drinking water,2010,98.91211,8318454.165,Available
AZE,Azerbaijan,total,Drinking water,2010,76.6651,6924748.571,On premises
BDI,Burundi,total,Drinking water,2010,7.12852,618441.9669,On premises
BEL,Belgium,total,Drinking water,2010,100,10938734.85,On premises
BEN,Benin,total,Drinking water,2010,55.62198,5116806.764,Available
BFA,Burkina Faso,total,Drinking water,2010,52.31887,8164470.724,Available
BGD,Bangladesh,total,Drinking water,2010,94.59204,139594621.7,Available
BGR,Bulgaria,total,Drinking water,2010,96.90313,7195068.363,Available
BHR,Bahrain,total,Drinking water,2010,99.96614,1240443.795,Available
BHS,Bahamas,total,Drinking water,2010,97.77303,347031.6945,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2010,88.53673,3280709.166,Available
BLM,Saint Barthélemy,total,Drinking water,2010,99.53003,0,On premises
BLR,Belarus,total,Drinking water,2010,90.0549,8483690.488,On premises
BLZ,Belize,total,Drinking water,2010,91.36214,294610.9381,On premises
BMU,Bermuda,total,Drinking water,2010,99.87749,65307.89586,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2010,79.81307,8020093.35,On premises
BRA,Brazil,total,Drinking water,2010,88.44058,173090286.4,Available
BRB,Barbados,total,Drinking water,2010,88.82261,250596.1301,Available
BRN,Brunei Darussalam,total,Drinking water,2010,99.44977,386495.6112,On premises
BTN,Bhutan,total,Drinking water,2010,82.85943,568003.0444,Available
BWA,Botswana,total,Drinking water,2010,68.95971,1370302.512,On premises
CAF,Central African Republic,total,Drinking water,2010,38.77731,1701069.463,Available
CAN,Canada,total,Drinking water,2010,98.53806,33648352.27,On premises
CHE,Switzerland,total,Drinking water,2010,100,7808674,On premises
CHI,Channel Islands,total,Drinking water,2010,91.975,146900.6305,On premises
CHL,Chile,total,Drinking water,2010,97.79737,16686708.23,Available
CHN,China,total,Drinking water,2010,85.15367,1185337389,Available
CIV,Côte d’Ivoire,total,Drinking water,2010,57.46307,11798859.99,Available
CMR,Cameroon,total,Drinking water,2010,44.5887,9069893.071,Available
COD,Democratic Republic of the Congo,total,Drinking water,2010,37.79191,24399911.25,Available
COG,Congo,total,Drinking water,2010,39.63145,1693744.126,On premises
COK,Cook Islands,total,Drinking water,2010,86.74236,15953.65514,On premises
COL,Colombia,total,Drinking water,2010,75.59418,34185729.22,Available
COM,Comoros,total,Drinking water,2010,65.71892,453260.7957,On premises
CPV,Cabo Verde,total,Drinking water,2010,74.49177,366979.2381,On premises
CRI,Costa Rica,total,Drinking water,2010,79.27733,3628817.613,Available
CUB,Cuba,total,Drinking water,2010,88.33458,9916292.352,Available
