ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ALB,Albania,total,Sanitation,2020,3.97805,114480.2858,Faecal sludge treated
AND,Andorra,total,Sanitation,2020,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2020,1.44613,143027.6566,Faecal sludge treated
ARM,Armenia,total,Sanitation,2020,7.7277,228989.7329,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2020,22.8417,12607.93242,Sewage treated
AUS,Australia,total,Sanitation,2020,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2020,3.53406,318291.5863,Faecal sludge treated
BEL,Belgium,total,Sanitation,2020,0.08956,10379.18248,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2020,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2020,2.59956,180629.031,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2020,0,0,Faecal sludge treated
BLR,Belarus,total,Sanitation,2020,3.9594,374136.3256,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2020,1.5,934.095,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2020,8.79469,1026606.587,Faecal sludge treated
BRA,Brazil,total,Sanitation,2020,3.92134,8335174.133,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2020,1.47891,11411.41398,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2020,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2020,13.80083,5208731.811,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2020,0.12416,10745.4631,Faecal sludge treated
CHL,Chile,total,Sanitation,2020,2.61997,500838.0645,Faecal sludge treated
CHN,China,total,Sanitation,2020,2.48228,36319247.41,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2020,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2020,0.8524,433727.2017,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2020,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2020,0.9449,107025.1151,Faecal sludge treated
CYP,Cyprus,total,Sanitation,2020,11.15578,134690.5189,Faecal sludge treated
CZE,Czechia,total,Sanitation,2020,0,0,Faecal sludge treated
DEU,Germany,total,Sanitation,2020,1.1359,951699.3324,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2020,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2020,0,0.03041,Faecal sludge treated
DZA,Algeria,total,Sanitation,2020,0.13187,57827.74689,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2020,0.26709,47122.64147,Faecal sludge treated
EGY,Egypt,total,Sanitation,2020,5.24854,5371066.06,Faecal sludge treated
ESP,Spain,total,Sanitation,2020,1.78121,832800.8921,Faecal sludge treated
EST,Estonia,total,Sanitation,2020,4.66959,61943.97673,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2020,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2020,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2020,0,0,Faecal sludge treated
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2020,0.51115,347001.8715,Faecal sludge treated
GEO,Georgia,total,Sanitation,2020,0,0,Faecal sludge treated
GHA,Ghana,total,Sanitation,2020,0,0,Faecal sludge treated
