ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
KEN,Kenya,total,Drinking water,2020,62.15421,33421126.2,Available
KGZ,Kyrgyzstan,total,Drinking water,2020,82.57134,5387112.158,Available
KHM,Cambodia,total,Drinking water,2020,48.38301,8089141.2,On premises
KIR,Kiribati,total,Drinking water,2020,50.88172,60776.17345,Available
KOR,Republic of Korea,total,Drinking water,2020,99.9314,51234011.62,Available
KWT,Kuwait,total,Drinking water,2020,100,4270563,Available
LAO,Lao People's Democratic Republic,total,Drinking water,2020,85.68568,6234109.772,Available
LBN,Lebanon,total,Drinking water,2020,92.34765,6303134.948,Available
LBR,Liberia,total,Drinking water,2020,14.52647,734702.1228,On premises
LBY,Libya,total,Drinking water,2020,95.89586,6589279.958,Available
LCA,Saint Lucia,total,Drinking water,2020,72.56434,133249.1719,Available
LIE,Liechtenstein,total,Drinking water,2020,100,38137,On premises
LKA,Sri Lanka,total,Drinking water,2020,87.48313,18732980.93,Available
LSO,Lesotho,total,Drinking water,2020,69.2172,1482806.921,Available
LTU,Lithuania,total,Drinking water,2020,94.92379,2584101.793,On premises
LUX,Luxembourg,total,Drinking water,2020,99.70297,624116.6438,On premises
LVA,Latvia,total,Drinking water,2020,96.2894,1816212.63,On premises
MAC,"China, Macao Special Administrative Region",total,Drinking water,2020,100,649342,Available
MAF,Saint Martin (French Part),total,Drinking water,2020,99.99927,0,On premises
MAR,Morocco,total,Drinking water,2020,92.40627,34107670.85,Available
MCO,Monaco,total,Drinking water,2020,100,39244,On premises
MDA,Republic of Moldova,total,Drinking water,2020,88.54416,3571838.585,Available
MDG,Madagascar,total,Drinking water,2020,44.54233,12334226.69,Available
MDV,Maldives,total,Drinking water,2020,75.2073,406527.0529,Available
MEX,Mexico,total,Drinking water,2020,68.70317,88580890.24,Available
MHL,Marshall Islands,total,Drinking water,2020,83.89372,49660.05076,Available
MKD,North Macedonia,total,Drinking water,2020,80.46091,1676306.497,Available
MLI,Mali,total,Drinking water,2020,71.65868,14511481.21,Available
MLT,Malta,total,Drinking water,2020,100,441539.0018,On premises
MMR,Myanmar,total,Drinking water,2020,74.55654,40566060.44,Available
MNE,Montenegro,total,Drinking water,2020,85.0722,534306.1803,Available
MNG,Mongolia,total,Drinking water,2020,73.90364,2422777.078,Available
MNP,Northern Mariana Islands,total,Drinking water,2020,90.63918,52169.1901,Available
MOZ,Mozambique,total,Drinking water,2020,32.83279,10262030.49,On premises
MRT,Mauritania,total,Drinking water,2020,42.95497,1997259.894,On premises
MSR,Montserrat,total,Drinking water,2020,98.07748,4902.89336,On premises
MTQ,Martinique,total,Drinking water,2020,99.76031,374365.5301,On premises
MUS,Mauritius,total,Drinking water,2020,72.90237,927148.2321,Available
MWI,Malawi,total,Drinking water,2020,69.09504,13217851.47,Available
MYS,Malaysia,total,Drinking water,2020,93.81822,30365202.11,On premises
MYT,Mayotte,total,Drinking water,2020,96.37118,262913.1065,On premises
NAM,Namibia,total,Drinking water,2020,62.07736,1577333.486,On premises
NCL,New Caledonia,total,Drinking water,2020,99.2986,283488.5741,On premises
NER,Niger,total,Drinking water,2020,32.53584,7875832.271,Available
NGA,Nigeria,total,Drinking water,2020,67.07901,138276404.8,Available
NIC,Nicaragua,total,Drinking water,2020,55.51592,3677681.896,Available
NIU,Niue,total,Drinking water,2020,97.01088,1569.63598,Available
NLD,Netherlands,total,Drinking water,2020,100,17134873.88,On premises
NOR,Norway,total,Drinking water,2020,100,5421241.756,On premises
NPL,Nepal,total,Drinking water,2020,78.01716,22731709.87,Available
NRU,Nauru,total,Drinking water,2020,99.4,10768.996,On premises
NZL,New Zealand,total,Drinking water,2020,100,4822233.063,On premises
OMN,Oman,total,Drinking water,2020,90.55716,4624411.717,On premises
PAK,Pakistan,total,Drinking water,2020,79.28692,175138732.5,Available
PAN,Panama,total,Drinking water,2020,84.36436,3640126.52,Available
PER,Peru,total,Drinking water,2020,73.67276,24291270.33,Available
PHL,Philippines,total,Drinking water,2020,86.5128,94801671.95,Available
PLW,Palau,total,Drinking water,2020,99.65755,18030.04313,Available
PNG,Papua New Guinea,total,Drinking water,2020,27.26519,2439423.727,Available
POL,Poland,total,Drinking water,2020,98.32523,37212762.14,On premises
PRI,Puerto Rico,total,Drinking water,2020,100,2860840,Available
PRK,Democratic People's Republic of Korea,total,Drinking water,2020,93.2646,24042508.08,Available
PRT,Portugal,total,Drinking water,2020,95.35371,9722938.08,Available
PRY,Paraguay,total,Drinking water,2020,87.38898,6233045.192,Available
PSE,State of Palestine,total,Drinking water,2020,87.63439,4470594.821,Available
PYF,French Polynesia,total,Drinking water,2020,97.58218,274112.256,On premises
